السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,الحدود الشماليه,عرعر,استديو - سكني,9,15750
2019,1,الحدود الشماليه,عرعر,دوبلاكس - سكني,1,12000
2019,1,الحدود الشماليه,رفحاء,دور - سكني,2,22390.5
2019,1,الحدود الشماليه,عرعر,دور - سكني,8,23550
2019,1,الحدود الشماليه,رفحاء,شقة - سكني,19,11884.0625
2019,1,الحدود الشماليه,طريف,شقة - سكني,42,16358.3
2019,1,الحدود الشماليه,عرعر,شقة - سكني,173,14889.12838
2019,1,الحدود الشماليه,روضة هباس,فيلا - سكني,1,15000
2019,1,الحدود الشماليه,طريف,محل - تجاري,4,310.860875
2019,1,الحدود الشماليه,عرعر,محل - تجاري,2,1084.615385
2019,2,الحدود الشماليه,طريف,استديو - سكني,1,10200
2019,2,الحدود الشماليه,عرعر,استديو - سكني,15,21857.14286
2019,2,الحدود الشماليه,عرعر,دوبلاكس - سكني,5,19560
2019,2,الحدود الشماليه,طريف,دور - سكني,1,19200
2019,2,الحدود الشماليه,عرعر,دور - سكني,8,22050
2019,2,الحدود الشماليه,رفحاء,شقة - سكني,16,13737.64286
2019,2,الحدود الشماليه,طريف,شقة - سكني,22,14788.75
2019,2,الحدود الشماليه,عرعر,شقة - سكني,155,16020.56738
2019,2,الحدود الشماليه,عرعر,فيلا - سكني,1,15000
2019,2,الحدود الشماليه,رفحاء,محل - تجاري,2,244.59391
2019,2,الحدود الشماليه,عرعر,محل - تجاري,7,475.466666
2019,3,الحدود الشماليه,رفحاء,استديو - سكني,2,5100
2019,3,الحدود الشماليه,عرعر,استديو - سكني,19,15915.78947
2019,3,الحدود الشماليه,عرعر,دوبلاكس - سكني,2,15000
2019,3,الحدود الشماليه,رفحاء,دور - سكني,1,20000
2019,3,الحدود الشماليه,طريف,دور - سكني,3,17800
2019,3,الحدود الشماليه,عرعر,دور - سكني,10,41240
2019,3,الحدود الشماليه,العويقيلة,شقة - سكني,10,9070.666666
2019,3,الحدود الشماليه,رفحاء,شقة - سكني,23,12612.05556
2019,3,الحدود الشماليه,طريف,شقة - سكني,18,16677.05556
2019,3,الحدود الشماليه,عرعر,شقة - سكني,256,16119.65044
2019,3,الحدود الشماليه,رفحاء,محل - تجاري,3,300
2019,3,الحدود الشماليه,عرعر,محل - تجاري,20,573.068241
2019,3,الحدود الشماليه,عرعر,مكتب - تجاري,2,85.823755
2019,4,الحدود الشماليه,طريف,استديو - سكني,9,12933.33333
2019,4,الحدود الشماليه,عرعر,استديو - سكني,20,13170
2019,4,الحدود الشماليه,عرعر,دوبلاكس - سكني,1,25200
2019,4,الحدود الشماليه,رفحاء,دور - سكني,2,14400
2019,4,الحدود الشماليه,طريف,دور - سكني,4,17468
2019,4,الحدود الشماليه,عرعر,دور - سكني,16,22725
2019,4,الحدود الشماليه,العويقيلة,شقة - سكني,2,7000
2019,4,الحدود الشماليه,رفحاء,شقة - سكني,49,11761.82927
2019,4,الحدود الشماليه,شعبة نصاب,شقة - سكني,1,12000
2019,4,الحدود الشماليه,طريف,شقة - سكني,128,16109.60177
2019,4,الحدود الشماليه,عرعر,شقة - سكني,369,15150.1976
2019,4,الحدود الشماليه,عرعر,فيلا - سكني,1,42000
2019,4,الحدود الشماليه,رفحاء,محل - تجاري,2,501.42857
2019,4,الحدود الشماليه,طريف,محل - تجاري,3,444
2019,4,الحدود الشماليه,عرعر,محل - تجاري,25,347.554876
2019,4,الحدود الشماليه,عرعر,معرض تجاري - تجاري,1,253.76202
2019,4,الحدود الشماليه,عرعر,مكتب - تجاري,1,1500
2020,1,الحدود الشماليه,رفحاء,استديو - سكني,4,9450
2020,1,الحدود الشماليه,طريف,استديو - سكني,2,13800
2020,1,الحدود الشماليه,عرعر,استديو - سكني,21,15390
2020,1,الحدود الشماليه,عرعر,دوبلاكس - سكني,6,20881.66667
2020,1,الحدود الشماليه,حزم الجلاميد,دور - سكني,1,60000
2020,1,الحدود الشماليه,رفحاء,دور - سكني,1,17018
2020,1,الحدود الشماليه,طريف,دور - سكني,6,19600
2020,1,الحدود الشماليه,عرعر,دور - سكني,21,21335
2020,1,الحدود الشماليه,العويقيلة,شقة - سكني,6,12483.33333
2020,1,الحدود الشماليه,رفحاء,شقة - سكني,60,10717.11538
2020,1,الحدود الشماليه,طريف,شقة - سكني,94,16068.51163
2020,1,الحدود الشماليه,عرعر,شقة - سكني,713,11238.56589
2020,1,الحدود الشماليه,عرعر,فيلا - سكني,1,12000
2020,1,الحدود الشماليه,العويقيلة,محل - تجاري,3,237.5
2020,1,الحدود الشماليه,رفحاء,محل - تجاري,4,225
2020,1,الحدود الشماليه,طريف,محل - تجاري,6,388.243508
2020,1,الحدود الشماليه,عرعر,محل - تجاري,56,392.692597
2020,1,الحدود الشماليه,عرعر,معرض تجاري - تجاري,1,386.59794
2020,2,الحدود الشماليه,رفحاء,استديو - سكني,13,6600
2020,2,الحدود الشماليه,طريف,استديو - سكني,5,11760
2020,2,الحدود الشماليه,عرعر,استديو - سكني,25,13513.63636
2020,2,الحدود الشماليه,العويقيلة,دوبلاكس - سكني,1,8400
2020,2,الحدود الشماليه,طريف,دوبلاكس - سكني,1,27000
2020,2,الحدود الشماليه,عرعر,دوبلاكس - سكني,8,15425
2020,2,الحدود الشماليه,رفحاء,دور - سكني,5,12720
2020,2,الحدود الشماليه,طريف,دور - سكني,7,17400
