السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,نجران,شرورة,استديو - سكني,4,12000
2019,1,نجران,نجران,استديو - سكني,11,11900
2019,1,نجران,شرورة,دور - سكني,3,15200
2019,1,نجران,نجران,دور - سكني,17,20935.71429
2019,1,نجران,الحصينية,شقة - سكني,1,8400
2019,1,نجران,بئر عسكر,شقة - سكني,1,48000
2019,1,نجران,حبونا,شقة - سكني,13,12216.76923
2019,1,نجران,شرورة,شقة - سكني,27,16529.3
2019,1,نجران,نجران,شقة - سكني,254,14663.42654
2019,1,نجران,نجران,محل - تجاري,2,1196.969695
2019,2,نجران,نجران,استديو - سكني,9,10350
2019,2,نجران,شرورة,دوبلاكس - سكني,1,12000
2019,2,نجران,نجران,دوبلاكس - سكني,1,20000
2019,2,نجران,شرورة,دور - سكني,1,18000
2019,2,نجران,نجران,دور - سكني,24,20940.04545
2019,2,نجران,حبونا,شقة - سكني,6,9333.333333
2019,2,نجران,شرورة,شقة - سكني,37,16586.4
2019,2,نجران,نجران,شقة - سكني,221,17237.11765
2019,2,نجران,نجران,فيلا - سكني,1,32000
2019,2,نجران,نجران,محل - تجاري,1,369.23077
2019,3,نجران,حبونا,استديو - سكني,1,8000
2019,3,نجران,شرورة,استديو - سكني,14,12500
2019,3,نجران,نجران,استديو - سكني,20,12150
2019,3,نجران,شرورة,دوبلاكس - سكني,8,17600
2019,3,نجران,نجران,دوبلاكس - سكني,2,23700
2019,3,نجران,الحصينية,دور - سكني,1,20000
2019,3,نجران,حبونا,دور - سكني,2,15000
2019,3,نجران,شرورة,دور - سكني,13,15630.25
2019,3,نجران,نجران,دور - سكني,39,18625.17143
2019,3,نجران,بئر عسكر,شقة - سكني,3,31400
2019,3,نجران,حبونا,شقة - سكني,35,10204.03704
2019,3,نجران,شرورة,شقة - سكني,67,15203.875
2019,3,نجران,نجران,شقة - سكني,480,16448.03047
2019,3,نجران,شرورة,فيلا - سكني,4,14454
2019,3,نجران,نجران,فيلا - سكني,2,29000
2019,3,نجران,شرورة,محل - تجاري,1,200
2019,3,نجران,نجران,محل - تجاري,1,125
2019,3,نجران,نجران,مكتب - تجاري,1,750
2019,4,نجران,شرورة,استديو - سكني,7,16100
2019,4,نجران,نجران,استديو - سكني,13,10453.84615
2019,4,نجران,شرورة,دوبلاكس - سكني,9,14309
2019,4,نجران,نجران,دوبلاكس - سكني,4,18000
2019,4,نجران,حبونا,دور - سكني,1,12000
2019,4,نجران,شرورة,دور - سكني,6,16982.66667
2019,4,نجران,نجران,دور - سكني,33,19132.5
2019,4,نجران,الحصينية,شقة - سكني,3,13666.66667
2019,4,نجران,بئر عسكر,شقة - سكني,1,21600
2019,4,نجران,حبونا,شقة - سكني,19,10093.33333
2019,4,نجران,شرورة,شقة - سكني,77,14627.42105
2019,4,نجران,نجران,شقة - سكني,465,14960.66
2019,4,نجران,يدمة,شقة - سكني,1,18000
2019,4,نجران,حبونا,محل - تجاري,1,234.375
2019,4,نجران,نجران,محل - تجاري,17,394.016178
2019,4,نجران,نجران,مكتب - تجاري,1,375
2020,1,نجران,شرورة,استديو - سكني,30,11193.10345
2020,1,نجران,نجران,استديو - سكني,33,8480
2020,1,نجران,شرورة,دوبلاكس - سكني,2,17100
2020,1,نجران,نجران,دوبلاكس - سكني,7,18966.6
2020,1,نجران,حبونا,دور - سكني,1,18600
2020,1,نجران,شرورة,دور - سكني,4,16559
2020,1,نجران,نجران,دور - سكني,32,19413.7931
2020,1,نجران,الحصينية,شقة - سكني,3,12000
2020,1,نجران,بئر عسكر,شقة - سكني,1,12000
2020,1,نجران,حبونا,شقة - سكني,56,8713.723404
2020,1,نجران,شرورة,شقة - سكني,224,11998.09434
2020,1,نجران,نجران,شقة - سكني,601,12534.13173
2020,1,نجران,نجران,فيلا - سكني,1,10000
2020,1,نجران,نجران,محل - تجاري,41,382.805403
2020,2,نجران,شرورة,استديو - سكني,31,12018.18182
2020,2,نجران,نجران,استديو - سكني,285,7900
2020,2,نجران,شرورة,دوبلاكس - سكني,9,14173.66667
2020,2,نجران,نجران,دوبلاكس - سكني,5,22000
2020,2,نجران,بئر عسكر,دور - سكني,3,17466.66667
2020,2,نجران,شرورة,دور - سكني,13,19333.33333
2020,2,نجران,نجران,دور - سكني,41,19137.14286
2020,2,نجران,الحصينية,شقة - سكني,47,11790.69767
2020,2,نجران,بئر عسكر,شقة - سكني,3,8000
2020,2,نجران,حبونا,شقة - سكني,107,10535.64103
2020,2,نجران,شرورة,شقة - سكني,257,12645.56612
2020,2,نجران,نجران,شقة - سكني,1249,9891.937095
2020,2,نجران,يدمة,شقة - سكني,5,21200
2020,2,نجران,شرورة,محل - تجاري,2,320
2020,2,نجران,نجران,محل - تجاري,13,256.873779
2020,2,نجران,شرورة,مكتب - تجاري,1,156
2020,2,نجران,نجران,مكتب - تجاري,1,82.75862
2020,3,نجران,حبونا,استديو - سكني,3,5833.333333
2020,3,نجران,شرورة,استديو - سكني,249,10154.54545
2020,3,نجران,نجران,استديو - سكني,201,9936.526946
2020,3,نجران,شرورة,دوبلاكس - سكني,5,10560
2020,3,نجران,نجران,دوبلاكس - سكني,6,19133.33333
2020,3,نجران,الحصينية,دور - سكني,2,20000
2020,3,نجران,حبونا,دور - سكني,4,16950
2020,3,نجران,شرورة,دور - سكني,24,17316.61111
2020,3,نجران,نجران,دور - سكني,66,17315.84746
2020,3,نجران,الحصينية,شقة - سكني,38,13505.26316
2020,3,نجران,بئر عسكر,شقة - سكني,4,5666.666666
2020,3,نجران,حبونا,شقة - سكني,148,9913.163265
2020,3,نجران,شرورة,شقة - سكني,739,10803.74335
2020,3,نجران,نجران,شقة - سكني,2755,10074.71216
2020,3,نجران,يدمة,شقة - سكني,5,6000
2020,3,نجران,نجران,فيلا - سكني,2,30000
2020,3,نجران,الحصينية,محل - تجاري,1,750
2020,3,نجران,حبونا,محل - تجاري,7,233.774283
2020,3,نجران,شرورة,محل - تجاري,39,290.888501
2020,3,نجران,نجران,محل - تجاري,221,396.281649
2020,3,نجران,نجران,معرض تجاري - تجاري,2,927.083335
2020,3,نجران,الحصينية,مكتب - تجاري,1,857.14286
2020,3,نجران,نجران,مكتب - تجاري,6,372.916666
2020,4,نجران,حبونا,استديو - سكني,2,12200
2020,4,نجران,شرورة,استديو - سكني,37,14538.23529
2020,4,نجران,نجران,استديو - سكني,108,13721.42857
2020,4,نجران,شرورة,دوبلاكس - سكني,7,12800
2020,4,نجران,نجران,دوبلاكس - سكني,9,35562.5
2020,4,نجران,الحصينية,دور - سكني,1,24000
2020,4,نجران,بئر عسكر,دور - سكني,1,36000
2020,4,نجران,حبونا,دور - سكني,1,22000
2020,4,نجران,شرورة,دور - سكني,10,18670.66667
2020,4,نجران,نجران,دور - سكني,48,20193.93182
2020,4,نجران,الحصينية,شقة - سكني,11,17333.33333
2020,4,نجران,بئر عسكر,شقة - سكني,3,17500
2020,4,نجران,حبونا,شقة - سكني,32,11040
2020,4,نجران,شرورة,شقة - سكني,355,12660.7551
2020,4,نجران,نجران,شقة - سكني,1091,14860.53846
2020,4,نجران,يدمة,شقة - سكني,10,7254.5
2020,4,نجران,نجران,فيلا - سكني,1,27272
2020,4,نجران,حبونا,محل - تجاري,2,173.557695
2020,4,نجران,شرورة,محل - تجاري,198,264.581332
2020,4,نجران,نجران,محل - تجاري,374,434.586949
2020,4,نجران,نجران,معرض تجاري - تجاري,2,386.666665
2020,4,نجران,شرورة,مكتب - تجاري,2,232.954545
2020,4,نجران,نجران,مكتب - تجاري,9,217.719532
2021,1,نجران,شرورة,استديو - سكني,134,12862.35294
2021,1,نجران,نجران,استديو - سكني,175,13475.46667
2021,1,نجران,شرورة,دوبلاكس - سكني,14,12669.23077
2021,1,نجران,نجران,دوبلاكس - سكني,7,17428.57143
2021,1,نجران,الحصينية,دور - سكني,2,22000
2021,1,نجران,بئر عسكر,دور - سكني,2,30000
2021,1,نجران,حبونا,دور - سكني,5,14324.4
2021,1,نجران,شرورة,دور - سكني,9,14181.77778
2021,1,نجران,نجران,دور - سكني,76,20684.29412
2021,1,نجران,الحصينية,شقة - سكني,22,15500
