السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,تبوك,تبوك,استديو - سكني,131,15385
2019,1,تبوك,حقل,استديو - سكني,1,15000
2019,1,تبوك,تبوك,دوبلاكس - سكني,6,25000
2019,1,تبوك,تبوك,دور - سكني,14,22052.78571
2019,1,تبوك,تيماء,دور - سكني,2,15600
2019,1,تبوك,حقل,دور - سكني,1,15000
2019,1,تبوك,البدع - البدع,شقة - سكني,1,8400
2019,1,تبوك,أملج,شقة - سكني,3,18800
2019,1,تبوك,تبوك,شقة - سكني,1051,16489.82472
2019,1,تبوك,تيماء,شقة - سكني,14,11900
2019,1,تبوك,حقل,شقة - سكني,1,7800
2019,1,تبوك,ضباء,شقة - سكني,10,13866.66667
2019,1,تبوك,تبوك,فيلا - سكني,2,21818
2019,1,تبوك,تبوك,محل - تجاري,20,633.364406
2019,1,تبوك,تيماء,محل - تجاري,2,300
2019,1,تبوك,ضباء,محل - تجاري,1,150
2019,1,تبوك,تبوك,مكتب - تجاري,4,382.019702
2019,2,تبوك,تبوك,استديو - سكني,101,16461.70213
2019,2,تبوك,تيماء,دوبلاكس - سكني,1,50000
2019,2,تبوك,تبوك,دور - سكني,17,20272.6875
2019,2,تبوك,تيماء,دور - سكني,6,17700
2019,2,تبوك,ضباء,دور - سكني,1,18000
2019,2,تبوك,أملج,شقة - سكني,3,15600
2019,2,تبوك,بئر بن هرماس,شقة - سكني,1,8400
2019,2,تبوك,تبوك,شقة - سكني,1033,17178.36297
2019,2,تبوك,تيماء,شقة - سكني,19,11131.57895
2019,2,تبوك,حقل,شقة - سكني,2,7200
2019,2,تبوك,ضباء,شقة - سكني,1,9600
2019,2,تبوك,تبوك,فيلا - سكني,4,32166.66667
2019,2,تبوك,تبوك,محل - تجاري,48,589.962469
2019,2,تبوك,تيماء,محل - تجاري,2,178.8
2019,2,تبوك,تبوك,مكتب - تجاري,2,293.79562
2019,3,تبوك,تبوك,استديو - سكني,108,15913.04348
2019,3,تبوك,تبوك,دوبلاكس - سكني,10,29244.44444
2019,3,تبوك,تبوك,دور - سكني,26,23028.26087
2019,3,تبوك,تيماء,دور - سكني,8,14337.57143
2019,3,تبوك,ضباء,دور - سكني,6,18120
2019,3,تبوك,الوجه,شقة - سكني,1,10000
2019,3,تبوك,أملج,شقة - سكني,18,17517.64706
2019,3,تبوك,تبوك,شقة - سكني,1325,16747.07435
2019,3,تبوك,تيماء,شقة - سكني,26,11033.04545
2019,3,تبوك,ضباء,شقة - سكني,18,13512.5
2019,3,تبوك,تبوك,فيلا - سكني,3,22733.33333
2019,3,تبوك,تبوك,محل - تجاري,63,512.481117
2019,3,تبوك,تيماء,محل - تجاري,5,419.333334
2019,3,تبوك,ضباء,محل - تجاري,1,560
2019,3,تبوك,تبوك,مكتب - تجاري,5,441.947714
2019,4,تبوك,تبوك,استديو - سكني,178,14172.9927
2019,4,تبوك,تبوك,دوبلاكس - سكني,13,19433
2019,4,تبوك,تيماء,دوبلاكس - سكني,1,12000
2019,4,تبوك,تبوك,دور - سكني,39,23323.19444
2019,4,تبوك,تيماء,دور - سكني,6,14600
2019,4,تبوك,ضباء,دور - سكني,2,16200
2019,4,تبوك,الوجه,شقة - سكني,1,13090
2019,4,تبوك,أملج,شقة - سكني,25,18582.6087
2019,4,تبوك,تبوك,شقة - سكني,1944,16462.86346
2019,4,تبوك,تيماء,شقة - سكني,43,11943.91892
2019,4,تبوك,حقل,شقة - سكني,1,10000
2019,4,تبوك,ضباء,شقة - سكني,11,12380
2019,4,تبوك,تبوك,فيلا - سكني,8,31028.57143
2019,4,تبوك,تبوك,محل - تجاري,168,518.181024
2019,4,تبوك,تيماء,محل - تجاري,4,334.264705
2019,4,تبوك,حقل,محل - تجاري,1,400
2019,4,تبوك,تبوك,معرض تجاري - تجاري,1,400
2019,4,تبوك,تبوك,مكتب - تجاري,2,150.96154
2020,1,تبوك,الوجه,استديو - سكني,1,10000
2020,1,تبوك,تبوك,استديو - سكني,219,13087.91209
2020,1,تبوك,تبوك,دوبلاكس - سكني,5,16200
2020,1,تبوك,بئر بن هرماس,دور - سكني,1,7200
2020,1,تبوك,تبوك,دور - سكني,28,22624.81481
2020,1,تبوك,تيماء,دور - سكني,4,16800
2020,1,تبوك,ضباء,دور - سكني,2,24818
2020,1,تبوك,البدع - البدع,شقة - سكني,1,6000
2020,1,تبوك,الوجه,شقة - سكني,45,10150
2020,1,تبوك,أملج,شقة - سكني,16,15000
2020,1,تبوك,تبوك,شقة - سكني,1629,15473.21784
2020,1,تبوك,تيماء,شقة - سكني,67,11048.66102
2020,1,تبوك,ضباء,شقة - سكني,22,10150.15
2020,1,تبوك,الوجه,محل - تجاري,1,400
2020,1,تبوك,تبوك,محل - تجاري,228,549.841911
2020,1,تبوك,تيماء,محل - تجاري,2,950.892855
2020,1,تبوك,تبوك,معرض تجاري - تجاري,1,208.33333
2020,1,تبوك,تبوك,مكتب - تجاري,7,871.269278
2020,1,تبوك,ضباء,مكتب - تجاري,1,250
2020,2,تبوك,البدع - البدع,استديو - سكني,1,6000
2020,2,تبوك,تبوك,استديو - سكني,173,12882.02614
2020,2,تبوك,تيماء,استديو - سكني,1,18000
2020,2,تبوك,ضباء,استديو - سكني,2,8000
2020,2,تبوك,تبوك,دوبلاكس - سكني,12,25490.90909
2020,2,تبوك,ضباء,دوبلاكس - سكني,1,12000
2020,2,تبوك,تبوك,دور - سكني,37,23605.32353
2020,2,تبوك,تيماء,دور - سكني,7,15857.14286
2020,2,تبوك,ضباء,دور - سكني,2,7500
2020,2,تبوك,البدع - البدع,شقة - سكني,4,11600
2020,2,تبوك,الوجه,شقة - سكني,140,7701.829787
2020,2,تبوك,أملج,شقة - سكني,88,17204.85714
2020,2,تبوك,تبوك,شقة - سكني,2248,14722.65161
2020,2,تبوك,تيماء,شقة - سكني,126,11307.87963
2020,2,تبوك,حقل,شقة - سكني,12,10390.90909
2020,2,تبوك,ضباء,شقة - سكني,97,9231.386363
2020,2,تبوك,تبوك,فيلا - سكني,2,16200
2020,2,تبوك,الوجه,محل - تجاري,2,163.81881
2020,2,تبوك,تبوك,محل - تجاري,100,547.438468
2020,2,تبوك,تيماء,محل - تجاري,4,651.190475
2020,2,تبوك,ضباء,محل - تجاري,1,400
2020,2,تبوك,تبوك,معرض تجاري - تجاري,1,180
2020,2,تبوك,أملج,مكتب - تجاري,1,300
2020,2,تبوك,تبوك,مكتب - تجاري,8,153.256405
