السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,1,الربع الأول ,الشرقية,الدمام,مدينة العمال,دور,سكني,1,300000,313.07,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,ابن خلدون,أرض,سكني,1,2000000,650.44,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,البستان,أرض,سكني,1,30347809,5000,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الفيحاء,أرض,تجاري,1,4013038.5,2169.21,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,النعيرية,أخرى,أرض,تجاري,5,1520000,33421.4,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الدوحة الجنوبية,أخرى,أخرى,1,642033.33,225.84,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الناصرية,شقة,سكني,2,950000,313.64,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الناصرية,أرض,سكني,3,2450000,1185.31,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الفيصلية,أخرى,سكني,1,5500000,2105.5,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,بدر,أرض,سكني,4,2358192.62,2143.75,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,بدر,أخرى,أخرى,4,1805472.62,1022.36,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,البديعة,أرض,سكني,4,5165862,1178.66,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,الخبر الجنوبية,أرض,سكني,3,6000000,987.76,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,الحمراء الثاني,أرض,تجاري,2,1970000,518.75,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الريان,فيلا,سكني,1,1350000,348,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الحمراء,أرض,تجاري,1,2150000,687.5,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الجبيل,الحمراء,أرض,تجاري,1,900000,600,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,التعاون,أخرى,أخرى,1,295000,116.57,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الصفاء,أرض,تجاري,2,5300000,1485.92,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الخليج,أرض,تجاري,1,1850000,325.22,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,الصناعية في محافظة القطيف,أرض,سكني,3,3400000,2625,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,الجسر,أرض,تجاري,2,3390000,1140,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,المها,أرض,سكني,1,569520,504,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,الزهراء,أرض,تجاري,1,1500000,466.55,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الظهران,أرض,سكني,3,2070000,3012.5,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,الخترشية في محافظة القطيف,أرض,سكني,1,3475252,807.88,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,الدبابية,أرض,زراعي,1,3200000,3574.74,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,الشراع,دوبلكس,سكني,1,1094000,348.91,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الأتصالات,أرض,سكني,3,2520000,1275,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,صناعية الثقبة,أرض,سكني,1,1850000,400,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,المزروع الاول,أرض,سكني,2,1120000,985,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الجبيل,الحمراء,فيلا,سكني,1,1400000,335.17,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,أخرى,أخرى,أخرى,4,3193795.17,866.99,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,السلمانية الثالث,أرض,سكني,1,720000,600,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,الرابية,أرض,تجاري,1,837496,951.7,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,هجر,أرض,سكني,1,318000,265.425,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,الكورنيش,أرض,سكني,2,7962500,1925,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,العليا,أرض,سكني,1,3000000,660,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الإسكان الجنوبي,دوبلكس,سكني,5,3087595,1053.79,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الجبيل,الجوهرة,أرض,تجاري,2,3500000,1800,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,البحر,أرض,تجاري,1,3800000,700,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,عنك,فيلا,سكني,1,837747,293.1,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الفيحاء,أخرى,أخرى,3,2525061.91,1012.39,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القرية العليا,أخرى,أرض,زراعي,1,100000,675000,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,صناعية الفوازية,أرض,تجاري,1,6500000,2400,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,بدر,فيلا,سكني,3,4049710.75,1262.5,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,العمامرة,أرض,تجاري,1,9000000,1640.85,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,بقيق,أخرى,شقة,سكني,1,591799,175.26,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,العنود,أرض,سكني,2,1700000,1000,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,المزروعية,أرض,سكني,1,600000,507.42,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,حفر الباطن,العزيزية,أرض,تجاري,3,479597,1282.5,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,المزروعية,أخرى,أخرى,1,100000,91.1,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,العقربية,فيلا,سكني,1,1000000,570.87,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,حفر الباطن,المصيف,أرض,تجاري,2,1740000,1582.5,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,حفر الباطن,الصناعية,أرض,تجاري,1,300000,450,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,العقيق,فيلا,سكني,2,1950000,664.28,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,الوسيطة,أرض,سكني,1,450000,372.17,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الجبيل,الحمراء,أخرى,أخرى,2,1142000,431.43,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,البديعة,أرض,سكني,1,200000,251.85,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,حفر الباطن,الصناعية,أرض,تجاري,1,325000,420,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,العزيزية الثاني,أرض,سكني,1,914385,200,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الخضرية,أرض,تجاري,1,1100000,791.25,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,العنود,فيلا,سكني,1,1000000,570,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,الاوجام في محافظة القطيف,أرض,سكني,3,4945450,2972.25,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الجبيل,المرقاب,أرض,سكني,4,12265000,3353.74,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,المريكبات,أرض,سكني,1,4100000,2241,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,النورس,دوبلكس,سكني,1,650000,173.61,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,العزيزية,فيلا,سكني,1,905000,600,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,الحمراء,أخرى,أخرى,1,402473.77,126.24,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الخبر,المرجان,أرض,تجاري,1,1800000,777.7,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,طيبة,شقة,سكني,5,3425000,1021.9,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,القزاز,أرض,سكني,1,550000,162.62,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,الجامعيين,شقة,سكني,2,1578000,473.89,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,النعيرية,أخرى,فيلا,سكني,1,1000,729,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الاحساء,الفردوس,أرض,سكني,5,3800000,2279.2,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,حفر الباطن,الصناعية,أرض,سكني,4,1180448,2210,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,القطيف,أبو معن في محافظة القطيف,شقة,سكني,1,615000,231.7,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الخالدية الشمالية,أخرى,تجاري,1,6450000,3000,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,النهضة,أخرى,أخرى,1,727541,196.09,NULL,NULL,NULL
2025,1,الربع الأول ,الشرقية,الدمام,الزهور,أخرى,أخرى,1,280000,92.3,NULL,NULL,NULL
