السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الربع الثاني ,الشرقية,الجبيل,المرقاب,أرض,سكني,2,6220000,857.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الراكة الجنوبية,أرض,تجاري,2,7750000,1700,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,إشبيلية,أرض,تجاري,1,13540920,1363.2,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الخالدية الشمالية,فيلا,سكني,1,1609528,489.23,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,العنود,فيلا,سكني,4,3205000,1372.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,جوبا,أرض,سكني,2,723010,1235.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,القصور,أخرى,أخرى,1,759960,151.76,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,قصر الخليج,أرض,سكني,1,1082025,432.81,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الخبر,أرض,سكني,1,1039000,325.58,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الوسيطة,أخرى,أخرى,1,1100000,127.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,البندرية,أرض,سكني,2,725000,900,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,المرجان,أرض,سكني,4,2940000,3717,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الخبرالشمالية,شقة,سكني,1,581597,144.28,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,البادية,أرض,تجاري,1,2200000,325.22,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,القدس,أرض,تجاري,1,1087000,500,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,السليمانية,أرض,سكني,1,142994,90.14,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الفيصلية,أرض,سكني,4,5709025,2350.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الخزامى,فيلا,سكني,1,1200000,375,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,أم الساهك في محافظة القطيف,أرض,سكني,2,1700000,1020.3,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,المريكبات,مبنى,تجاري,1,700000,400,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,طيبة,أرض,تجاري,4,44029484.5,18640.76,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الجميمة,أرض,سكني,1,2106046,250,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الشراع,أخرى,سكني,1,1200000,1015,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,النايفية,أرض,سكني,4,1835835,1680,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,البدور في محافظة القطيف,أرض,سكني,5,5584249,2488.41,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,الرمال,أرض,سكني,1,2300000,910,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,العويمرية,أرض,سكني,1,554000,420,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,العقيق,أرض,تجاري,1,963900,918.71,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الشاطئ الشرقي,دوبلكس,سكني,1,2000000,455.7,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,التحلية,فيلا,سكني,1,1000000,300,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الحزام الأخضر,دوبلكس,سكني,2,1352000,461.27,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الزهور,أخرى,أخرى,2,660000,287.47,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,النخيل,أرض,تجاري,2,1900000,1520.22,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,الحمراء,أرض,سكني,2,6108395,1923.82,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الجوهرة,أرض,سكني,1,2222324,945.67,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الفيصلية,أرض,تجاري,1,4000000,700,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الورود الثاني,أرض,سكني,2,210000,735,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,القطيف,غرب النابية,أرض,تجاري,1,616720,385.45,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,أخرى,دوبلكس,سكني,3,2441457,1157.79,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,إشبيلية,أرض,تجاري,2,5492225,1254.1,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الفردوس,شقة,سكني,1,500000,239.54,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الروضة,فيلا,سكني,2,1606342.4,802.78,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الجبيل,طيبة,أرض,تجاري,4,57156317.8,58996.38,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الندى,دوبلكس,سكني,2,1960000,519.2,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,السلام,أخرى,أخرى,1,300000,184.82,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,القادسية,أرض,سكني,2,683000,484.75,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الجبيل,الدانة,أرض,سكني,1,850000,443.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,ضاحية الملك فهد,فيلا,سكني,3,2286543.74,1102.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الدوحة الجنوبية,فيلا,سكني,1,2150000,821.95,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,اللؤلؤ,دوبلكس,سكني,3,3423000,1311.28,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الاحساء,الشهابية,أرض,سكني,1,1390000,488.34,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الخبر,مدينة العمال,أخرى,أخرى,1,1250000,348.76,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الصناعية الثانية,أرض,سكني,4,11468775,11611.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,فليج,أرض,تجاري,1,200000,500,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الدمام,الزهور,أخرى,أخرى,1,200000,175.5,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,حفر الباطن,البلدية,أرض,سكني,5,2099627,1940,NULL,NULL,NULL
2025,2,الربع الثاني ,الشرقية,الجبيل,أخرى,شقة,سكني,2,1545000,493.39,NULL,NULL,NULL
