السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,1,الربع الأول ,حائل,حائل,البحيرة,أرض,تجاري,1,600000,2500,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,الزهرة,أرض,تجاري,2,5850000,1400,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,العزيزية,أرض,تجاري,1,600000,386.4,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,إشبيليا,أرض,سكني,1,1850000,1193.4,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,الأندلس,أرض,سكني,2,2123200,1275.5,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,المدائن,أرض,تجاري,2,1011500,1374.17,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,شراف,أرض,سكني,2,1098653,955.35,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,الرصف,أرض,تجاري,1,600000,815.5,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,سميراء,أخرى,أخرى,أخرى,1,15000,4830,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,المملكة,دور,سكني,1,279650,205.71,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,المصيف,دور,سكني,1,750000,320.35,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,السويفلة,أرض,تجاري,1,400000,809.73,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,أخرى,دوبلكس,سكني,1,978000,303.82,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,اللقيطة,أرض,سكني,3,850000,1680,NULL,NULL,NULL
2025,1,الربع الأول ,حائل,حائل,السلام,أرض,سكني,1,300000,660,NULL,NULL,NULL
