السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الثاني ,حائل,حائل,الرصف,أرض,تجاري,2,1340000,1116.8,NULL,NULL,NULL
2025,2,الثاني ,حائل,الحائط,أخرى,أخرى,أخرى,1,10000,1024,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النعام,فيلا,سكني,1,200000,295.95,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الوسيطا,أرض,زراعي,1,115000,10080,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المزعبر,فيلا,سكني,1,1200000,482.35,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,أخرى,أرض,تجاري,5,4612739.44,24632.95,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المطار,أرض,تجاري,1,1000000,525,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الوادي,أرض,تجاري,4,3600000,3331.22,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,قصر العشروات,أرض,تجاري,1,150000,800,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,حدري البلاد,أرض,زراعي,1,1030000,12800,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,درة مشار,أرض,سكني,1,480000,595,NULL,NULL,NULL
2025,2,الثاني ,حائل,بقعاء,أخرى,أخرى,أخرى,4,175000,3029,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,نقبين,أرض,زراعي,1,600000,15180,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,عقده,أرض,سكني,2,5800002,6188.88,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المصيف,أرض,سكني,2,1100000,1900,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,العزيزية,أرض,سكني,3,849000,1482.2,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الأندلس,أرض,سكني,2,1070000,642,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,البحيرة,أرض,سكني,1,768750,740.97,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,السويفلة,أرض,تجاري,1,467000,745.5,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الخزامى,شقة,سكني,1,650000,214.32,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المزعبر,أرض,سكني,2,1214000,961.89,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الياسمين,شقة,سكني,4,2012100,922.16,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الجبل,شقة,سكني,3,1574245,529.55,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النرجس,أرض,سكني,1,911624,300,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,شراف,أرض,سكني,1,650000,560,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الخزامى,شقة,سكني,2,1121428,452.79,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,أجا,أرض,تجاري,5,7783791,6456.62,NULL,NULL,NULL
2025,2,الثاني ,حائل,الشملي,أخرى,دوبلكس,سكني,1,460000,452.33,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,قرطبة,دوبلكس,سكني,2,1990000,1010.16,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,المزعبر,أرض,سكني,3,1270000,1420.57,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النفل,شقة,سكني,2,998450,396.94,NULL,NULL,NULL
2025,2,الثاني ,حائل,سميراء,أخرى,أرض,زراعي,1,50000,100000,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,أخرى,دوبلكس,سكني,1,150000,208.16,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الخماشية ,أرض,سكني,5,2028041,2893.99,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,القيروان,أرض,سكني,2,394287,940.78,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النفل,أرض,تجاري,1,220000,800,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,النصية,أرض,تجاري,1,475530,655,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الشفاء,أرض,تجاري,2,3800000,1600,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الملك عبدالله,أرض,سكني,2,1200000,1000,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,غياض,أرض,سكني,2,455000,1017.66,NULL,NULL,NULL
2025,2,الثاني ,حائل,الشنان,أخرى,أرض,تجاري,2,50000,1275.5,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الودي,أرض,تجاري,1,390000,715.5,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,صديان,أرض,تجاري,1,1850000,592.4,NULL,NULL,NULL
2025,2,الثاني ,حائل,حائل,الشفاء,شقة,سكني,1,500000,293.34,NULL,NULL,NULL
