السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الجابرة,شقة,2,1390000,466.27,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الجماوات,شقة,41,29315855.74,7124.99,4390.078348,4670.95,4187.05
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الحساء,شقة,14,8369144,2439.87,3508.963657,3763,3269.23
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,العريض,شقة,6,3490247.83,999.712,3617.928448,3761.36,3530.67
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الجصـة,شقة,1,550000,201.59,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,السـلام,شقة,2,1317850,411.12,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الشريبات,شقة,6,4069403,1188.35,3450.401344,4265.18,2623.91
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الشهداء,شقة,8,3703200,1034.88,3558.91424,3876.21,3286.46
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,القصواء,شقة,2,600000,204.63,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,المبعوث,شقة,34,20886894,6198.7,3441.973077,3930.99,2782.93
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الأسكان,شقة,4,2370000,722.14,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,العزيزية,شقة,8,2420000,1259.37,1656.470588,1692.31,1644.86
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الراية,شقة,1,500000,146.7,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الشهباء,شقة,1,916000,216.03,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,العاقول,شقة,3,1500000,456.2,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الخالدية,شقة,4,1919413,568.12,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الدفـاع,شقة,18,12334273.43,3494.89,3489.116405,3883.91,3163.73
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الزهرة,شقة,3,960000,520.23,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,وادي مذينب,شقة,3,1310000,515.34,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الرمـانة,شقة,61,36516970.92,10905.42,3518.778027,4869.91,2393.54
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الروابى,شقة,6,4350000,1670.38,2615.510881,2695.27,2532.49
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,السـد,شقة,1,930000,229.65,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الدويخلة,شقة,7,4503218,1362.06,3450.634582,3782.89,3066.11
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,شوران,شقة,16,9498144,2886.25,3655.92288,4481.32,3091.43
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,عين الخيف,شقة,36,23578625,6432.63,3616.47043,3832.64,3421.82
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,العنابس,شقة,1,600000,173.98,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,الغـراء,شقة,9,6762850,1883.49,3501.078296,3881.78,3292.89
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,السكب,شقة,5,2512372,865.86,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,ذو الحليفة,شقة,3,1765000,506.19,NULL,NULL,NULL
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,شـظاة,شقة,17,11289759.44,3111.78,3984.140784,4588.65,3476.81
2024,3,الربع الثالث,20243,المدينة المنورة,المدينة المنورة,طيبة,شقة,1,624000,190.93,NULL,NULL,NULL
