السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الجـامـعة,شقة,1,225354.43,189.2,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الجابرة,شقة,1,685000,233.02,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الرانوناء,شقة,81,42386018.99,14932.8,3036.80515,3511.2,2562.21
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الحساء,شقة,21,12298519,3620.68,3453.813255,3962.54,3174.97
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الدفـاع,شقة,25,13533248.42,5337.29,2686.818924,3808.49,1038.6
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الروابى,شقة,1,500000,256.2,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,السكب,شقة,8,3941916,1399.79,2736.376545,2938.92,2615.4
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الغـراء,شقة,9,6520000,1758.99,3808.875602,4111.66,3622.52
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الأسكان,شقة,3,2049600,531.38,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الـقـبلـتين,شقة,2,850000,269.17,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,العريض,شقة,9,4690000,1419.759,3935.543242,4110.93,3672.51
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,وادي مذينب,شقة,1,485000,172.07,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,السـلام,شقة,1,500000,174.49,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الشريبات,شقة,5,3670807,952.16,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,بنى حارثة,شقة,8,4641100,1387.87,3340.833013,3389.65,3314.19
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الدويخلة,شقة,9,6117000,1797.43,3312.513624,4210,2810.83
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,المبعوث,شقة,51,32053604,9767.59,3306.473038,3805.62,2913.73
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,شـظاة,شقة,15,9940250,2327.78,4199.914136,4390.45,3723.9
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,عين الخيف,شقة,64,42958900,11690.17,3722.899805,3987.7,3571.43
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الشهباء,شقة,6,4172791,1272.1,3170.757308,3632.37,2874.84
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,الشهداء,شقة,2,530000,251.5,NULL,NULL,NULL
2024,4,الربع الرابع,20244,المدينة المنورة,المدينة المنورة,العزيزية,شقة,4,2057335,681.16,NULL,NULL,NULL
