السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الشريبات,شقة,1,757000,187.41,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الشهداء,شقة,3,1318510,379.93,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,العزيزية,شقة,3,1870000,506.63,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الغـراء,شقة,5,4088499,1009.59,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الفتح,شقة,1,430000,139.2,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الشهباء,شقة,2,1000000,412.12,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الاناهي,شقة,1,600000,101.39,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الخالدية,شقة,1,650000,137.86,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,جشم,شقة,16,9673229.92,2787.85,3697.320696,4057.83,3463.72
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الجابرة,شقة,1,680000,233.25,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الجماوات,شقة,33,23673975,5318.69,4419.433286,5068.46,4140.4
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الحساء,شقة,9,4386200,1392.73,3011.362642,3274.82,2733.09
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الرمـانة,شقة,29,17757765,5593.1,3503.735755,4957.86,2374.33
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الـقـبلـتين,شقة,1,685000,159.31,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الدفـاع,شقة,20,11014540,3416.21,3304.33213,3873.93,1780.77
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,السكب,شقة,6,3006871.96,1035.65,2923.551465,2928.42,2921
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,القصواء,شقة,1,179026.97,107.98,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,مسجد الدرع,شقة,1,420000,156.4,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الرانوناء,شقة,93,53817290.83,15416.61,3605.579765,4572.58,2449.02
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,العريض,شقة,6,3270000,791.8675,3696.572053,3895.74,3495.29
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,الأسكان,شقة,3,2090000,566.54,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,ذو الحليفة,شقة,1,700000,165.27,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,عروة,شقة,1,990000,274.76,NULL,NULL,NULL
2024,2,الربع الثانى,20242,المدينة المنورة,المدينة المنورة,وادي البطان,شقة,2,190000,282.96,NULL,NULL,NULL
