السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,1,الربع الأول,20241,مكة المكرمة,جدة,أم السلم,شقة,63,38127519.15,11101.38,3353.456348,3736.53,2898.11
2024,1,الربع الأول,20241,مكة المكرمة,جدة,البشائر,شقة,3,1866300,698.84,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,التوفيق,شقة,4,2304000,561.93,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الحمدانية,شقة,15,10997631,3252.7,3421.984727,4194.08,3022.87
2024,1,الربع الأول,20241,مكة المكرمة,جدة,البغددية الشرقية,شقة,3,2400000,417.2,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,العدل,شقة,1,445000,241.23,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,المروة,شقة,503,326097913.8,85129.84,3920.433794,4416.47,3351.46
2024,1,الربع الأول,20241,مكة المكرمة,جدة,البوادى,شقة,21,14303499,3647.03,3733.176312,4637.46,2797.83
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الرحمانية,شقة,18,14188900,2652.22,5224.505363,6608.13,4206.98
2024,1,الربع الأول,20241,مكة المكرمة,جدة,أبحر الجنوبية,شقة,9,26328856,2958.81,8650.271561,10215.56,7177.73
2024,1,الربع الأول,20241,مكة المكرمة,جدة,البغدادية الغربية,شقة,15,10931972.27,2366.76,4643.379911,6953.01,3345.07
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الرغامة,شقة,52,31135544,9604.33,3253.989361,3900.89,2699.1
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الروابي,شقة,41,23357881,7285.4,3276.284203,3956.18,2515.07
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الريان,شقة,423,235645158.5,69067.74,3405.472937,3945.5,2806.53
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الأجواد,شقة,32,15718968,4756.85,3398.705865,3750,3175.01
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الأمير عبد المجيد,شقة,133,70556372.06,24192.36,2811.508622,3658.34,2354.08
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الجامعة,شقة,16,7224571,2094.72,3462.878179,3500,3136.56
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الحمراء,شقة,17,18949597,3392.11,5671.708159,7018.84,4051.98
2024,1,الربع الأول,20241,مكة المكرمة,جدة,النهضة,شقة,11,10533663.64,1850.46,6357.924041,7790.37,4753.87
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الواحة,شقة,711,407451215.6,113007.935,3615.423611,4219.63,3047.27
2024,1,الربع الأول,20241,مكة المكرمة,جدة,مدائن الفهد,شقة,18,9006548.19,2888.09,3145.06985,3945.99,2509.48
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الشرفية,شقة,11,8019000,2088.38,3555.34122,4066.19,3386.86
2024,1,الربع الأول,20241,مكة المكرمة,جدة,السليمانية,شقة,2,1100000,405.63,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الصوارى,شقة,128,98968487.86,25172.4,3868.072305,4392.05,3442.95
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الفيحاء,شقة,290,228402258.6,55137.335,4064.856709,4511.82,3645.18
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الربوه,شقة,58,34714354,9124.02,3900.850276,4306.77,3631.22
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الرحاب,شقة,23,16002183,4153.9,4015.782216,4393.73,3755.67
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الرياض,شقة,1,650000,178.85,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,مكة المكرمة,الخضراء,شقة,6,3920000,1206.27,3453.038674,3453.04,3453.04
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الصفا,شقة,263,157015741.5,44156.3375,3657.815749,4245.35,3011.8
2024,1,الربع الأول,20241,مكة المكرمة,جدة,المنار,شقة,327,181913261.5,47566.448,3745.876983,4310.85,3120.37
2024,1,الربع الأول,20241,مكة المكرمة,جدة,المنتزهات,شقة,2,400000,190.6,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,النخيل,شقة,26,17333000,4830.103,3609.290814,3985.25,3251.45
2024,1,الربع الأول,20241,مكة المكرمة,جدة,النزلة اليمانية,شقة,1,350000,90.16,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,الياقوت,شقة,1,630000,225.58,NULL,NULL,NULL
2024,1,الربع الأول,20241,مكة المكرمة,جدة,السلامة,شقة,198,208723731.8,33399.635,5771.84851,8207.85,4072.46
2024,1,الربع الأول,20241,مكة المكرمة,جدة,المرجان,شقة,7,14375000,1345.84,10038.42222,13958.75,6253.61
