السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,1,الربع الأول ,مكة المكرمة,جدة,النسيم,أرض,سكني,1,3300000,655.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشراع,شقة,سكني,1,680000,146.41,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,المليساء,فيلا,سكني,1,714993.67,250,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشرفية,شقة,سكني,1,550000,151.35,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,السلام,أرض,تجاري,1,4500000,402,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,البحيرات,شقة,سكني,1,435000,175.76,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الربوة,عمارة,سكني,1,350000,209.29,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,القرينية,أرض,تجاري,4,7770000,2942,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,أم السلم,أرض,تجاري,1,2918550,735,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,وادي جليل,أرض,سكني,4,3865000,2090.093,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,منتزة الطائف الوطني بسيسد,شقة,سكني,4,2850000,733.65,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,أم حبلين الغربية,أرض,سكني,2,3520000,1384.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الحلقة الشرقية,دور,سكني,2,1613000,429.28,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,المقام,دور,سكني,1,650000,255.42,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الثعالبة,أخرى,أخرى,1,930868,161.02,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,السيل الكبير,أرض,زراعي,1,20000,1398.8,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,السامر,فيلا,سكني,4,11223972,2375,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الزاهر,أرض,سكني,2,2300000,1062.97,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الشرفية,شقة,سكني,2,1220000,378.42,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,النهضة,أرض,سكني,4,6694421.61,1700,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفلاح,أرض,سكني,5,4363800,3709.6,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الربوة,فيلا,سكني,1,2100000,360,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,المقام,دور,سكني,1,840000,283.46,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,السلامة,أرض,سكني,3,2267352,1460.37,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,النزهة,شقة,سكني,2,1570000,448.1,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,النوارية,أرض,سكني,5,3656879,3299.66,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,أم العراد,أرض,سكني,4,4266000,2047.25,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,العسيلة,دور,سكني,1,425000,246.64,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشراع,شقة,سكني,1,630000,127.32,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المرجان,فيلا,سكني,2,15800000,2400.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفضل,أرض,سكني,3,15256058.2,8161.02,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,السليمانية,دوبلكس,سكني,4,3245000,1348.1,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الليث,أخرى,أرض,زراعي,1,1000000,11392,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المنار,أخرى,أخرى,2,706000,205.73,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,العقيق,شقة,سكني,2,1190000,521.61,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الثغر,أرض,سكني,4,5490300,2886.03,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,السبيل,أرض,تجاري,1,28613010,2350,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,العمرة,أرض,تجاري,2,3000000,964.98,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,غليل,أرض,تجاري,1,1477638,613.6,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,معاد,أرض,تجاري,2,3000000,1300,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الرويس,أرض,سكني,1,540590,2250,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,المقام,أرض,تجاري,1,1944000,600,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشراع,دوبلكس,سكني,2,2500000,568.36,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,المليساء,دور,سكني,2,1934253,715.69,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الخضراء,شقة,سكني,2,1250000,354.86,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الأصالة,أرض,سكني,4,5805399.99,2100,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الملك فهد,أرض,تجاري,3,10100000,2010,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المنتزهات,أخرى,أخرى,1,1262570,366,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المروج,أرض,تجاري,1,980000,900,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,أخرى,مبنى,تجاري,1,2750000,394.45,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الهنداوية,أرض,تجاري,1,349260,110.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الزهراء,أرض,سكني,4,14025000,2805,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الهنداوية,أرض,سكني,1,95315.96,203.24,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الشهداء الجنوبية,شقة,سكني,1,420000,183.92,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الواحة,أرض,تجاري,1,7078203,1335.51,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,البغدادية الغربية,شقة,سكني,2,1351621.62,302.93,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المحمدية,أرض,تجاري,1,75000,790.71,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,النزلة اليمانية,أرض,تجاري,3,7218299.5,3131.29,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الخليج,أرض,سكني,4,2020000,2351.86,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الصفاء,أرض,تجاري,2,10500000,1375,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الصفوة,أرض,تجاري,4,6630000,4270.53,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الجودية,أرض,تجاري,5,2250000,5255,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,اليسر,أرض,تجاري,1,750000,899,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,اللؤلؤ,دوبلكس,سكني,2,3400000,982.98,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفضيلة,أرض,تجاري,1,872000,200,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,أخرى,أرض,زراعي,1,3000000,158051,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الروابي,أخرى,أخرى,2,1533363,624.99,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,المويه القديم,أخرى,أرض,زراعي,1,50000,51000,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,خليص,أخرى,أرض,زراعي,1,26804403,992755.66,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الواسط,أرض,سكني,1,385000,404.53,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الحلقة الشرقية,فيلا,سكني,1,1605800,444.01,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,القنفذة,أخرى,أرض,تجاري,4,2230000,3211,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,شبرا,أرض,سكني,2,1569257.52,354.4,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,النزهة,أخرى,أخرى,1,1144768,482.25,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,المقام,أرض,سكني,3,2900000,1248.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,رابغ,أخرى,شقة,سكني,1,452119,194.82,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,المعترض,أرض,سكني,4,1035000,1322.4,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,تربه,أخرى,أرض,تجاري,1,40000,900,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفيحاء,أرض,تجاري,2,135800000,59138.63,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,السلامة,أرض,سكني,2,951000,452.2,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,السروات,أرض,سكني,2,11484850,6581,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الشهداء الشمالية,شقة,سكني,3,1391000,470.08,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,رابغ,أخرى,أرض,تجاري,4,1528961000,10154060.62,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,العوالي,أرض,سكني,2,5770000,3120,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الوفاء,أرض,تجاري,4,4835000,2200,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,سلطانة,أرض,سكني,4,2423774,1512.37,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,البحيرات,شقة,سكني,1,630000,187.88,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,حارة الباب الجديد,فيلا,سكني,1,1530000,460.37,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,بدر,أرض,سكني,2,310000,1545,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,القهيب,دوبلكس,سكني,1,1100000,404.39,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الحمراء,أرض,سكني,2,3193112.5,1308.05,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الفلق الجديد,دوبلكس,سكني,1,1150000,450.13,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الخالدية,فيلا,سكني,2,168000000,11334.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الرويس,شقة,سكني,5,3304000,508.12,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,اللؤلؤ,أرض,تجاري,2,3761112,875,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,بحرة,أخرى,أخرى,أخرى,1,581895.84,212.21,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,اللؤلؤ,أرض,تجاري,3,6830000,1616.81,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الحمراء,شقة,سكني,1,485000,123.99,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الزمرد,أرض,تجاري,2,8600000,1262.48,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,معشي,أرض,سكني,1,580000,225,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,نخب,أرض,سكني,2,350000,214.58,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,القنفذة,أخرى,شقة,سكني,5,1990400,881,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,مشرفة,أخرى,أخرى,3,1772850,348.76,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,بريمان,فيلا,سكني,1,2000000,751.36,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الروابي,فيلا,سكني,1,1000000,322.08,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,العمرة,شقة,سكني,2,1550000,459.52,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,السيل الكبير,أرض,سكني,3,201000,1066,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,سكني,1,440000,133.56,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشاطئ,شقة,سكني,5,7987420,1492.91,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,العوالي,فيلا,سكني,3,9975000,2011,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الهدا,أرض,تجاري,3,12550000,2850,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الراشدية,شقة,سكني,2,1293562,351.44,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشاطئ,أرض,تجاري,5,264225226.4,17856.35,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الجوهرة,أرض,تجاري,1,203000,1615.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الشرائع,فيلا,سكني,2,2300000,812.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الحوية,شقة,سكني,1,50000,191.6,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,البشائر,شقة,سكني,1,560000,174.91,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الدرة,أرض,تجاري,1,660000,605.68,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,القطبية الغربية,أخرى,أخرى,3,1015468.19,739.797,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,أم الجود,أرض,سكني,2,2000000,645.81,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,شبرا,شقة,سكني,2,215000,269.75,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الخضراء,أرض,سكني,1,100000,336.89,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,أبحر الجنوبية,شقة,سكني,4,11760240,1318.29,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفروسية,أرض,تجاري,2,1990000,1260,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المروة,أرض,سكني,4,8524541,2076.42,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,السنابل,أرض,سكني,1,3000000,625,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,جرول,أرض,سكني,1,4628683.2,150.61,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,النعيم,أرض,سكني,1,2700000,624,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشاطئ,فيلا,سكني,3,43429172,3545.51,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الراشدية,شقة,سكني,1,470060,112.76,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,العمرة,أرض,تجاري,4,4202966,3112.45,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,السليمانية,أرض,تجاري,1,2975000,625,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفروسية,دوبلكس,سكني,1,950000,340.06,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,قروى,أرض,سكني,3,4670000,4104.15,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,منتزة الطائف الوطني بسيسد,أرض,سكني,2,835600,1347.98,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,البغددية الشرقية,أرض,تجاري,1,2039680,372.8,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,السليمانية,أرض,تجاري,3,221792500,69095.3,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفيحاء,أرض,سكني,3,29411960,4988.31,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الحلقة الشرقية,أرض,تجاري,1,1500000,603.42,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الكامل,أخرى,أرض,تجاري,1,65000,620,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,طيبة,دوبلكس,سكني,2,1730000,703.14,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الوفاء,دوبلكس,سكني,3,3190000,1304.2,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,أخرى,أرض,زراعي,2,130000,21393.92,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,القيم الأعلى,شقة,سكني,3,1557800,418.05,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,اللؤلؤ,أرض,تجاري,2,10800000,1573.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الليث,أخرى,أرض,تجاري,1,20000,625,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,النسيم,شقة,سكني,5,8652000,1136.24,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الوفاء,أرض,تجاري,5,7708000,3205.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الهجلة الجديد,شقة,سكني,1,700000,229.58,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الربوة,أرض,تجاري,2,4792236.92,1011.82,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الهجلة الجديد,دوبلكس,سكني,1,1400000,443.46,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,القنفذة,أخرى,أرض,زراعي,3,1231485.1,34334.86,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,السلام,أرض,سكني,4,4542857,1600,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الهدا,أرض,زراعي,1,3500000,18105.14,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الشرفية,دوبلكس,سكني,1,1600000,428.36,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الخرمة,أخرى,أرض,زراعي,2,115000,158300,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,البيعة,أرض,تجاري,3,2000000,1200,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الفروسية,أرض,تجاري,3,3405000,1300,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,مسرة,أرض,تجاري,2,1450000,1800,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,طيبة,أرض,تجاري,5,22070000,6135.2,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشاطئ,شقة,سكني,1,4500000,282.19,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الزهراء,فيلا,سكني,4,25500000,2817.8,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الشراع,أرض,تجاري,4,12850000,2603,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,المحمدية,فيلا,سكني,1,3000000,387.5,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,رنية,أخرى,شقة,سكني,1,460000,175.52,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الكندرة,أخرى,أخرى,3,1836130,522.95,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الياقوت,أخرى,أخرى,1,1710000,1900,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,السنابل,شقة,سكني,2,400000,311.62,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,أخرى,أخرى,سكني,2,117315504,4313.07,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,الواحة,فيلا,سكني,2,1799616.68,394.26,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الجامعة,أرض,سكني,1,2650000,458.2,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,أم العراد,فيلا,سكني,1,1000000,405.87,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,السداد,أرض,سكني,5,6053182,2883.95,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الشوقية,شقة,سكني,3,1805000,524.84,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,جدة,أم السلم,أخرى,أخرى,1,710365.8,397.59,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,الطائف,الواسط,شقة,سكني,1,720000,206.56,NULL,NULL,NULL
2025,1,الربع الأول ,مكة المكرمة,مكة المكرمة,الهنداوية,أرض,سكني,1,1200000,186.56,NULL,NULL,NULL
