السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,البوادى,شقة,12,7768500,2107.15,3940.911468,4543.95,3523.09
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الجامعة,شقة,22,10381370,3051.37,3373.273961,3500,3119.18
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الأجواد,شقة,17,6211000,2297.336,3121.091779,3403.82,2371.92
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,البشائر,شقة,1,785000,291.39,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,السامر,شقة,29,15420269.5,4837.9,3261.985428,3469,2966.29
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الأمير عبد المجيد,شقة,95,54482515.33,17097.29,3097.058891,4058.17,2381.01
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,البغدادية الغربية,شقة,2,1147028,222.34,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,التوفيق,شقة,4,2552000,626.62,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الحمراء,شقة,20,17456000,3878.2,4761.921068,5942.95,2841.02
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الربوه,شقة,82,48483918.51,12966.2,3722.800711,4301.44,3298.38
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الرغامة,شقة,59,34414107.69,10593.03,3377.598782,3927.79,2989.01
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,أم السلم,شقة,54,31088796.79,9521.03,3300.523911,3867.5,2936.12
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,البغددية الشرقية,شقة,1,750000,202.1,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الحمدانية,شقة,17,9870386.18,2994.42,3265.968999,3785.65,2947.41
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الشرفية,شقة,6,4995000,1265.19,3937.832979,4235.61,3665.78
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,أبحر الشمالية,شقة,1,500000,166.16,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الوفاء,شقة,2,1140000,443.02,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,مريخ,شقة,362,191638716,58029.16,3474.389946,4076.62,2821.24
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,السلامة,شقة,120,112750168.4,20524.715,5208.673557,7848.61,4301.4
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الصفا,شقة,200,126710071.6,35549.82,3616.598685,4232.19,2893.7
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الفلاح,شقة,6,4500000,1260.62,3541.144268,3592.28,3245.49
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,المروة,شقة,327,201367461.6,53486.798,3796.788986,4356.05,3302.93
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,أبحر الجنوبية,شقة,15,18128590.23,2872.57,6590.370955,8827.52,4821.13
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الرحمانية,شقة,20,15923873,3383.74,5001.023274,6266.54,4146.88
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الريان,شقة,366,202468274.8,60029.11,3387.849859,3915.43,2880.35
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الروابي,شقة,40,24983178.55,7232.735,3369.188504,3849.49,2831.5
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الروضة,شقة,78,70067430.14,13497.74,5574.578367,6456.62,5037.02
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الرويس,شقة,3,2749053.19,407.17,NULL,NULL,NULL
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الزهراء,شقة,51,49093865,8682.06,5501.800225,6357.46,4982.44
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,مشرفة,شقة,52,29507952,8725.96,3467.077823,4090.78,2824.19
2024,2,الربع الثانى,20242,مكة المكرمة,مكة المكرمة,العدل,شقة,26,16359501,5419.34,3024.560032,3505.07,2555.48
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,السليمانية,شقة,6,3810600,1184.54,3556.727313,3764.8,3379
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الصالحية,شقة,8,4605000,1374.16,3176.592618,3243.33,3100.42
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,النزهة,شقة,161,108411645.3,27318.59,3887.39896,4377.94,3526.18
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,النسيم,شقة,26,13024716,3780.19,3260.504733,4083.15,3078.82
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,الرحاب,شقة,25,14276900,3927.99,3883.320123,4224.52,3629.14
2024,2,الربع الثانى,20242,مكة المكرمة,جدة,النهضة,شقة,53,44349974.68,8476.98,4942.232553,6292.1,4669.42
