السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الربع الثاني ,مكة المكرمة,جدة,البغددية الشرقية,أرض,سكني,1,3642264,655.24,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,الطائف,شهار,أرض,تجاري,1,5000000,1122.71,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,تربه,أخرى,أرض,تجاري,1,580175,600,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,مكة المكرمة,السلام,أرض,تجاري,1,1500000,392,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,مكة المكرمة,النوارية,دوبلكس,سكني,2,2275000,850.79,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,الفيصلية,أخرى,أخرى,1,811848,281.32,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,حكومي3,أخرى,أخرى,1,545000,54.63,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,الطائف,القطبية الغربية,أرض,سكني,3,14500000,2172.13,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,الكوثر,أرض,سكني,3,2920000,1500,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,المسرة,فيلا,سكني,2,1260000,1799.9,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,الطائف,الفيصلية,فيلا,سكني,1,30000,438,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,مكة المكرمة,البحيرات,أرض,سكني,2,2015000,1177.73,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,الكوثر,شقة,سكني,1,600000,171.96,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,النجمة,أرض,تجاري,1,2650000,900,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,القرينية,دور,سكني,1,400000,234.35,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,مكة المكرمة,العمرة,أرض,سكني,4,3640000,2816,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,جدة,البشائر,فيلا,سكني,2,3380000,762.5,NULL,NULL,NULL
2025,2,الربع الثاني ,مكة المكرمة,الطائف,الحوية,أرض,تجاري,1,750000,190.88,NULL,NULL,NULL
