السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الربع الثالث,مكة المكرمة,خليص,أخرى,شقة,سكني,5,2612960,1018.38,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,البوادي,فيلا,سكني,3,12400000,1771,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,الرحبة,فيلا,سكني,4,3100000,1376.57,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,الجامعة,فيلا,سكني,1,10252953.6,574.62,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الأمير عبدالمجيد,أرض,سكني,1,3100000,1028,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,سلطانة,دوبلكس,سكني,1,1000000,448.78,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الشرفية,شقة,سكني,3,1308500,453.51,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الجوهرة,أرض,تجاري,3,10265306,4175,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,الرحاب,فيلا,سكني,1,985200,365.49,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,العشيرية,أرض,تجاري,1,1100000,895.5,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,القنفذة,أخرى,دوبلكس,سكني,1,930000,321.93,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,الشامية الجديد,دور,سكني,1,700000,259.19,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,البشائر,فيلا,سكني,5,5235000,1700,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,أخرى,شقة,سكني,5,6313250,264.06,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,بريمان,أرض,سكني,1,400000,395.39,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,النزهة,شقة,سكني,1,450000,128.07,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,الزهراء,أرض,سكني,1,80000,115.2,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,الرويدف,أرض,تجاري,1,1000000,561.38,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,مثملة,أرض,سكني,3,9575000,13553.99,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,اليسر,أرض,تجاري,2,1095000,1520,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,بريمان,فيلا,سكني,5,5137220,2760.02,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,البحيرات,فيلا,سكني,2,2100000,895.03,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الجزيرة,فيلا,سكني,2,2212000,917.5,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الصحيفة,أرض,سكني,2,1273417,180.49,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الفنار,فيلا,سكني,3,3815000,825,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,الراشدية,أرض,تجاري,1,1000000,625,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,أم السلم,أرض,سكني,5,6794921.6,3554.29,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,معاد,أرض,سكني,2,1885020,1350,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,السروات,أرض,تجاري,3,11500000,8000,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,الهنداوية,أرض,سكني,1,950000,514,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,النسيم,أرض,سكني,3,12250000,2236.18,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,الأخباب,أخرى,أخرى,1,892000,250,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,جرول,أخرى,أخرى,1,17187600,180.43,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,المنتزهات,أخرى,أخرى,2,1277862.6,406.29,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,العرفاء الغربية,شقة,سكني,2,997818,278.28,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الثغر,أرض,سكني,3,2759416.6,1022.12,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الفيصلية,أرض,تجاري,2,21504167,3328.23,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الفضل,أخرى,أخرى,1,862656,195,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,العوالي,شقة,سكني,1,750000,157.04,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,خليص,أخرى,أرض,زراعي,2,6500000,143472.28,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الأمواج,دوبلكس,سكني,1,2100000,334.16,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,مكة المكرمة,البحيرات,فيلا,سكني,2,3690218,736.19,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,جدة,الهدا,أرض,تجاري,1,4000000,900,NULL,NULL,NULL
2025,3,الربع الثالث,مكة المكرمة,الطائف,الرحاب,أرض,سكني,5,2859000,2658.98,NULL,NULL,NULL
