السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,أم السلم,شقة,122,70109973.36,22502.53,3105.292922,3548.21,2606.38
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,1,813327.88,142.36,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,البشائر,شقة,1,400000,210.67,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,التوفيق,شقة,3,1447000,356.81,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الحمدانية,شقة,39,25282315.85,7692.9,3388.396252,3877.8,3050.72
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,البغددية الشرقية,شقة,2,1400000,349.87,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,العدل,شقة,1,1000000,427.18,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الفضيلة,شقة,3,1827000,524.39,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,المروة,شقة,506,284647569.3,79191.531,3732.560365,4305.91,3276.54
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,البوادى,شقة,43,25304250,6615.08,3737.4062,4228.72,3358.4
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الرحمانية,شقة,27,21716272.12,4014.34,5297.27057,6183.54,4315.3
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,أبحر الجنوبية,شقة,7,10347137,2009.55,3852.471256,4099.29,3689.24
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,البغدادية الغربية,شقة,5,2047511.57,633.93,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الرغامة,شقة,89,40832005.62,13688.72,3065.046187,3532.84,2491.38
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الروابي,شقة,70,34541742.99,11238.44,3179.856265,3762.84,2117.07
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الريان,شقة,484,267695208.9,78165.36,3403.171566,3964.27,2864.78
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,السنابل,شقة,3,2488400,724.42,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الأجواد,شقة,15,5993275,1996.19,3042.38338,3418.41,2771.23
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الأمير عبد المجيد,شقة,97,50927571.69,17446.34,2888.576724,3724.7,2354.08
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الاندلس,شقة,2,756046,479.76,NULL,NULL,NULL
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الجامعة,شقة,57,24364766,7227,3320.263956,3584.4,2948.11
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الحمراء,شقة,18,9780000,2068.67,5005.053963,5166.25,4902.46
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,النهضة,شقة,100,87667646,15612.14,5501.124019,6162.83,5118.52
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الواحة,شقة,503,264660438.1,73448.82,3578.168387,4084.62,3151.35
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,مدائن الفهد,شقة,48,24297725.21,7456.65,3397.478265,4040.81,2639.02
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الشرفية,شقة,13,7477480,2035.08,3643.056737,3977.95,2909.15
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,السليمانية,شقة,27,16335000,4535.37,3459.871324,3703.7,2920.75
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الصوارى,شقة,252,187105257.9,49781.9,3763.739455,4200.66,3393.39
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الفيحاء,شقة,372,277335903.3,69265.577,3958.338074,4361.45,3494.31
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الربوه,شقة,87,58101876.5,15146.71,3764.422156,4084.01,3509.3
2024,4,الربع الرابع,20244,مكة المكرمة,جدة,الرحاب,شقة,25,14259500,3757.4,4030.914295,4292.2,3725.41
