السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,2,الربع الثانى,20242,الرياض,الرياض,إشبيلية,شقة,61,43590169.83,8613.325,5104.970615,5705.79,4481.63
2024,2,الربع الثانى,20242,الرياض,الرياض,التعاون,شقة,9,10643000,1434.15,8549.657249,9916.72,5855.36
2024,2,الربع الثانى,20242,الرياض,الرياض,أحد,شقة,3,1334699.6,433.29,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,الخزامى,شقة,125,187024152.2,16934.77,10836.46806,12590.23,10465.87
2024,2,الربع الثانى,20242,الرياض,الرياض,الربيع,شقة,7,11810000,1172.72,9350.702847,11098.16,6151.26
2024,2,الربع الثانى,20242,الرياض,الرياض,الأندلس,شقة,39,29305258,4630.43,6231.985965,6579.9,5843.74
2024,2,الربع الثانى,20242,الرياض,الرياض,البيان,شقة,25,17139609,3432.7,6242.481485,7704.11,4684.22
2024,2,الربع الثانى,20242,الرياض,الرياض,الروابي,شقة,11,9253450,1581.723,6247.67084,6695.58,5774.95
2024,2,الربع الثانى,20242,الرياض,الرياض,الروضة,شقة,29,24623750,3707.09,6157.485461,7411.3,5211.2
2024,2,الربع الثانى,20242,الرياض,الرياض,الإزدهار,شقة,19,20538016,2357.83,8526.71991,9064.27,7965.69
2024,2,الربع الثانى,20242,الرياض,الرياض,الجزيرة,شقة,2,2000000,371.75,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,الدريهمية,شقة,18,9404817.19,2647.72,3575.413366,3773.34,3400
2024,2,الربع الثانى,20242,الرياض,الرياض,الرمال,شقة,242,171735646.3,32427.02,5219.725633,6076.3,4416.08
2024,2,الربع الثانى,20242,الرياض,الرياض,السعادة,شقة,80,62062749.34,13782.47,4454.742538,5333.33,4022.23
2024,2,الربع الثانى,20242,الرياض,الرياض,الرفيعة,شقة,4,3065000,303.68,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,السليمانية,شقة,42,47545810,4822.28,9557.822835,11032.32,8929.26
2024,2,الربع الثانى,20242,الرياض,الرياض,الجنادرية,شقة,13,7134340,1975.13,3943.702571,4654.95,3589.53
2024,2,الربع الثانى,20242,الرياض,الرياض,الحزم,شقة,65,31712701.63,9900.6013,3322.874906,4272.45,2276.41
2024,2,الربع الثانى,20242,الرياض,الرياض,الشفا,شقة,12,6587852.77,2088.56,3482.788106,3784.48,3113.54
2024,2,الربع الثانى,20242,الرياض,الرياض,الحمراء,شقة,70,68575850.23,10247.287,6588.605637,7438.66,4746.81
2024,2,الربع الثانى,20242,الرياض,الرياض,الرائد,شقة,36,45317743.63,4557.08,9276.425771,10995.65,8474.01
2024,2,الربع الثانى,20242,الرياض,الرياض,السلام,شقة,7,4832500,928.06,5707.627869,6333.99,5421.83
2024,2,الربع الثانى,20242,الرياض,الرياض,الشميسي,شقة,1,150000,152.7,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,السويدي,شقة,19,10594335.18,2823.18,3966.864375,4347.23,3363.83
2024,2,الربع الثانى,20242,الرياض,الرياض,الشهداء,شقة,22,20697762,2902.38,7294.844638,7936.66,6584.29
2024,2,الربع الثانى,20242,الرياض,الرياض,الصحافة,شقة,24,29408364,3161.75,9162.928582,11860.1,6459.48
2024,2,الربع الثانى,20242,الرياض,الرياض,العقيق,شقة,15,14975000,1910.3,8834.826105,10181.25,8139.62
2024,2,الربع الثانى,20242,الرياض,الرياض,الخليج,شقة,48,34397620,6595.31,5105.995221,5590.06,4866.97
2024,2,الربع الثانى,20242,الرياض,الرياض,الدار البيضاء,شقة,103,43179634.9,14682.18,2943.92476,3462.95,2392.38
2024,2,الربع الثانى,20242,الرياض,الرياض,الربوة,شقة,6,5616360,726.86,7989.053254,8112.96,7901.06
2024,2,الربع الثانى,20242,الرياض,الرياض,السويدي الغربي,شقة,5,2925000,732.63,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,العريجاء,شقة,1,880000,326.74,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,العليا,شقة,21,49823008,2726.33,18980.0937,22020.84,14795.53
2024,2,الربع الثانى,20242,الرياض,الرياض,القادسية,شقة,44,31555477.33,6156.32,5138.869119,6078.5,4526.25
2024,2,الربع الثانى,20242,الرياض,الرياض,القيروان,شقة,76,87428294.5,10144.56,8406.190275,9598.07,7394.46
2024,2,الربع الثانى,20242,الرياض,الرياض,الريان,شقة,48,48775450.09,6262.53,7298.934177,8523.34,6551.98
2024,2,الربع الثانى,20242,الرياض,الرياض,الزهرة,شقة,19,10805473,2701.46,3719.639349,4716.98,3119.39
2024,2,الربع الثانى,20242,الرياض,الرياض,الفيحاء,شقة,5,2945000,668.82,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الرياض,الرياض,المحمدية,شقة,19,26621000,2534.56,10282.50255,11316.27,9506.43
