السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,1,الأول ,الباحة,بلجرشي,أخرى,شقة,سكني,4,2157000,715.7,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,أخرى,أرض,زراعي,3,3616071.5,1540.34,NULL,NULL,NULL
2025,1,الأول ,الباحة,المخواة,أخرى,أرض,زراعي,2,135000,9492.46,NULL,NULL,NULL
2025,1,الأول ,الباحة,المخواة,أخرى,أرض,زراعي,1,300000,12650,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,الواحة,أرض,سكني,2,200000,1275,NULL,NULL,NULL
2025,1,الأول ,الباحة,بني حسن,أخرى,أرض,سكني,1,2890011,10000,NULL,NULL,NULL
2025,1,الأول ,الباحة,القرى,أخرى,أرض,سكني,3,200000,1953.1,NULL,NULL,NULL
2025,1,الأول ,الباحة,بلجرشي,أخرى,شقة,سكني,1,760000,208.14,NULL,NULL,NULL
2025,1,الأول ,الباحة,بلجرشي,أخرى,أرض,تجاري,1,300000,578.31,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,أرض,تجاري,1,5000,675,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,النزهة,أرض,تجاري,1,3000000,474.19,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,الشروق,شقة,سكني,5,1527385,512.94,NULL,NULL,NULL
2025,1,الأول ,الباحة,المندق,أخرى,أرض,سكني,1,415893,900,NULL,NULL,NULL
2025,1,الأول ,الباحة,قلوة,أخرى,أرض,زراعي,1,5000,6391.25,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,السوق,أرض,سكني,1,165513.6,114.94,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,أخرى,أرض,زراعي,3,1105000,3193.43,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,أرض,زراعي,2,485000,40579,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,دور,سكني,1,650000,267.46,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,المنار,أرض,سكني,1,122424,102.02,NULL,NULL,NULL
2025,1,الأول ,الباحة,المخواة,أخرى,شقة,سكني,2,797826,335.28,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,دوبلكس,سكني,1,960000,435.76,NULL,NULL,NULL
2025,1,الأول ,الباحة,المندق,أخرى,أرض,زراعي,1,10566.5,116.55,NULL,NULL,NULL
2025,1,الأول ,الباحة,المندق,أخرى,أرض,سكني,2,1205000,4412.8,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,شقة,سكني,1,350000,104,NULL,NULL,NULL
2025,1,الأول ,الباحة,الحجرة,أخرى,أرض,سكني,1,42000,596,NULL,NULL,NULL
2025,1,الأول ,الباحة,الحجرة,أخرى,أرض,تجاري,2,684500,905,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,أرض,زراعي,2,80000,36070,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,الرحاب,أرض,سكني,2,440000,951.09,NULL,NULL,NULL
2025,1,الأول ,الباحة,قلوة,أخرى,أرض,سكني,3,560000,2866.07,NULL,NULL,NULL
2025,1,الأول ,الباحة,القرى,أخرى,أرض,زراعي,1,100000,1218.24,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,الواحة,أرض,سكني,1,250000,620,NULL,NULL,NULL
2025,1,الأول ,الباحة,القرى,أخرى,أرض,زراعي,1,500000,26506.14,NULL,NULL,NULL
2025,1,الأول ,الباحة,الحجرة,أخرى,أرض,سكني,1,140000,400,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,أخرى,شقة,سكني,3,1886072,677.4,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,الرحاب,أرض,سكني,1,214344,600,NULL,NULL,NULL
2025,1,الأول ,الباحة,القرى,أخرى,أرض,سكني,2,173492.99,1188,NULL,NULL,NULL
2025,1,الأول ,الباحة,قلوة,أخرى,أرض,سكني,3,762000,2235.17,NULL,NULL,NULL
2025,1,الأول ,الباحة,بلجرشي,أخرى,شقة,سكني,1,600000,197.84,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,السوق,أرض,تجاري,1,900000,648.5,NULL,NULL,NULL
2025,1,الأول ,الباحة,بلجرشي,أخرى,أرض,سكني,16,4417500,16479.72,255.2353869,649.35,54.26
2025,1,الأول ,الباحة,الباحة,أخرى,شقة,سكني,3,1690000,741.63,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,أخرى,أرض,سكني,9,6680544,11277.27,625.6041221,800,207.76
2025,1,الأول ,الباحة,العقيق,أخرى,أرض,سكني,16,3723592.59,12206.85,262.6972756,411.11,144.84
2025,1,الأول ,الباحة,قلوة,أخرى,أرض,سكني,2,120000,1217.13,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,أرض,سكني,19,9262775,83778.77,357.1980429,421.88,166.67
2025,1,الأول ,الباحة,الباحة,أخرى,أرض,سكني,15,11002250.05,10161.517,632.2817785,785.71,448
2025,1,الأول ,الباحة,الباحة,الشروق,أرض,سكني,7,2452900,3441,529.0519878,687.5,264.27
2025,1,الأول ,الباحة,المخواة,أخرى,أرض,سكني,20,2374005,11519.12,157.2418525,240.96,45.8
2025,1,الأول ,الباحة,المخواة,أخرى,أرض,سكني,27,3538663.34,13749.14,207.0943409,262.16,84.19
2025,1,الأول ,الباحة,المخواة,أخرى,أرض,سكني,11,812500,5725.4,137.2501884,213.91,61.98
2025,1,الأول ,الباحة,الباحة,أخرى,أرض,سكني,9,6331000,8228.77,606.0606061,687.49,250
2025,1,الأول ,الباحة,بلجرشي,أخرى,أرض,سكني,12,5405000,9587.46,237.9194531,503.43,56.49
2025,1,الأول ,الباحة,الباحة,أخرى,أرض,زراعي,1,4862844,4052.37,NULL,NULL,NULL
2025,1,الأول ,الباحة,المخواة,أخرى,شقة,سكني,7,2790000,1172.24,2392.463739,2449.03,2365.18
2025,1,الأول ,الباحة,الباحة,الشروق,دوبلكس,سكني,2,1900000,671.52,NULL,NULL,NULL
2025,1,الأول ,الباحة,الباحة,الشروق,أرض,تجاري,1,450000,400,NULL,NULL,NULL
2025,1,الأول ,الباحة,المندق,أخرى,أرض,سكني,1,3000000,11725.95,NULL,NULL,NULL
2025,1,الأول ,الباحة,بلجرشي,أخرى,أرض,سكني,10,2908862,7743.1,373.6951977,654.45,148.4
2025,1,الأول ,الباحة,القرى,أخرى,أرض,سكني,4,378000,6427.58,NULL,NULL,NULL
2025,1,الأول ,الباحة,العقيق,أخرى,أرض,سكني,14,6798781,10767.96,338.862987,500,244.44
2025,1,الأول ,الباحة,العقيق,أخرى,شقة,سكني,1,844366.8,187.48,NULL,NULL,NULL
