السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الثاني ,الباحة,المخواة,أخرى,شقة,سكني,5,1612262,643.8,NULL,NULL,NULL
2025,2,الثاني ,الباحة,العقيق,أخرى,شقة,سكني,1,700000,258.21,NULL,NULL,NULL
2025,2,الثاني ,الباحة,المخواة,أخرى,أرض,زراعي,1,400000,19816,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الرحاب,أرض,سكني,2,662000,1194,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الشروق,أرض,سكني,3,481000,1498,NULL,NULL,NULL
2025,2,الثاني ,الباحة,قلوة,أخرى,أرض,سكني,2,868500,400,NULL,NULL,NULL
2025,2,الثاني ,الباحة,المندق,أخرى,أرض,سكني,2,796535,2260.36,NULL,NULL,NULL
2025,2,الثاني ,الباحة,العقيق,أخرى,دوبلكس,سكني,1,1050000,464,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,السروات,أرض,سكني,1,170000,660,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الحجاز,أرض,سكني,1,800000,4141.57,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,أخرى,أرض,زراعي,2,1245665,2060.65,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الشروق,أرض,سكني,1,250000,380,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,المنار,أرض,سكني,1,220000,420,NULL,NULL,NULL
2025,2,الثاني ,الباحة,المخواة,أخرى,أرض,زراعي,2,200000,5880,NULL,NULL,NULL
2025,2,الثاني ,الباحة,القرى,أخرى,أرض,سكني,1,100000,624,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الشروق,أرض,سكني,2,300000,1326,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الواحة,أرض,سكني,2,350000,1250,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الحجرة,أخرى,أرض,تجاري,1,140000,400,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,أخرى,شقة,سكني,2,1020750,470.72,NULL,NULL,NULL
2025,2,الثاني ,الباحة,المندق,أخرى,أرض,سكني,1,1033477.2,1780,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الرحاب,أرض,سكني,1,260000,600,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,أخرى,أرض,زراعي,1,530000,1572.88,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,أخرى,أرض,زراعي,2,488701,1377.66,NULL,NULL,NULL
2025,2,الثاني ,الباحة,المخواة,أخرى,شقة,سكني,1,841060,340.72,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الحجرة,أخرى,أرض,تجاري,1,100000,9845.58,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الحجاز,أرض,سكني,2,1655368,1504.88,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الرحاب,أرض,سكني,1,150000,629.52,NULL,NULL,NULL
2025,2,الثاني ,الباحة,المندق,أخرى,أرض,زراعي,2,2000000,3931.65,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,الواحة,أرض,سكني,2,230000,1250,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الحجرة,أخرى,أرض,سكني,1,70000,690,NULL,NULL,NULL
2025,2,الثاني ,الباحة,العقيق,أخرى,أرض,زراعي,1,150000,325.757,NULL,NULL,NULL
2025,2,الثاني ,الباحة,قلوة,أخرى,أرض,سكني,2,530000,2442.19,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,السوق,أرض,سكني,2,1467973.64,2369.04,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,السوق,أرض,زراعي,2,803160,535.44,NULL,NULL,NULL
2025,2,الثاني ,الباحة,العقيق,أخرى,شقة,سكني,3,1330000,483.91,NULL,NULL,NULL
2025,2,الثاني ,الباحة,بلجرشي,أخرى,أرض,زراعي,1,20000,525,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,أخرى,شقة,سكني,4,1520000,663.88,NULL,NULL,NULL
2025,2,الثاني ,الباحة,بلجرشي,أخرى,شقة,سكني,3,2000000,558.04,NULL,NULL,NULL
2025,2,الثاني ,الباحة,بلجرشي,أخرى,أرض,زراعي,2,2735012,5874.49,NULL,NULL,NULL
2025,2,الثاني ,الباحة,قلوة,أخرى,أرض,سكني,3,323469,1881,NULL,NULL,NULL
2025,2,الثاني ,الباحة,الباحة,السوق,أرض,سكني,1,200000,750,NULL,NULL,NULL
2025,2,الثاني ,الباحة,بلجرشي,أخرى,أرض,تجاري,1,1300000,665.96,NULL,NULL,NULL
2025,2,الثاني ,الباحة,القرى,أخرى,أرض,سكني,3,715000,1443.18,NULL,NULL,NULL
2025,2,الثاني ,الباحة,بلجرشي,أخرى,أرض,سكني,18,6766573,17502.82,245.1544211,421.68,98.3
