السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,2,الربع الثانى,20242,الشرقية,الدمام,الضباب,شقة,1,615000,202.98,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,المحمدية,شقة,1,700000,206.26,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,النور,شقة,84,39242809.96,13287.02,3053.748309,3577.75,2636.21
2024,2,الربع الثانى,20242,الشرقية,الدمام,النورس,شقة,1,400000,154.58,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الحمراء,شقة,4,2342000,525.12,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الاسكان,شقة,3,750000,766.04,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,العزيزية,شقة,16,6766557,2209.37,3286.712038,3736.23,2850.32
2024,2,الربع الثانى,20242,الشرقية,الدمام,أحد,شقة,6,3371000.97,1099.08,3375.216161,3536.65,3276.58
2024,2,الربع الثانى,20242,الشرقية,الدمام,البادية,شقة,1,319000,112.49,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجوهرة,شقة,9,5462343.27,1588.87,3575.024543,4619.41,2953.45
2024,2,الربع الثانى,20242,الشرقية,الدمام,البحيرة,شقة,5,3634855.97,968.1,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الشروق,شقة,1,660000,240.19,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجامعيين,شقة,75,46445053,13859.15,3273.985866,3730.82,2950.24
2024,2,الربع الثانى,20242,الشرقية,الدمام,السيف,شقة,91,53384639,12604.62,4078.57216,4580.84,3560.83
2024,2,الربع الثانى,20242,الشرقية,الدمام,مدينة العمال,شقة,10,3325000,1192.63,2826.552463,2828.25,2825.1
2024,2,الربع الثانى,20242,الشرقية,الدمام,تهامة,شقة,3,2194635,440.82,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,هجر,شقة,61,41036094.78,11125.91,3802.33042,4101.48,3432.26
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجلوية,شقة,1,800000,190.63,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الزهور,شقة,30,15557384.37,5297.9,3043.93957,3424.73,2847.79
2024,2,الربع الثانى,20242,الشرقية,الدمام,بدر,شقة,26,16264386.66,5277.19,3190.252264,3524.99,2935.72
2024,2,الربع الثانى,20242,الشرقية,الدمام,المزروعية,شقة,1,400000,159.78,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,المنتزة,شقة,97,72514095.04,15632.12,4731.934847,5148.54,4118.14
2024,2,الربع الثانى,20242,الشرقية,الدمام,الشعلة,شقة,134,67824990,21938.22,3073.547953,3699.95,2555.78
2024,2,الربع الثانى,20242,الشرقية,الدمام,المنار,شقة,32,23201179.24,6625.3,3642.115536,4111.64,3247.1
2024,2,الربع الثانى,20242,الشرقية,الدمام,الندى,شقة,8,5102000,1549.4,3812.62593,4045.72,3273.13
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفيصلية,شقة,8,5202838.85,1674.13,3181.977672,3478.51,3043.16
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفردوس,شقة,31,14506614.21,4944.21,2915.354414,3836.38,2495.63
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفيحاء,شقة,21,9554499.88,2850.11,3135.289408,3755.44,2663.22
2024,2,الربع الثانى,20242,الشرقية,الدمام,النزهة,شقة,4,2595000,663.15,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,طيبة,شقة,16,11742000,3332.87,3628.982982,3802.59,3385.66
2024,2,الربع الثانى,20242,الشرقية,الدمام,ضاحية الملك فهد,شقة,31,19098393.39,5890.17,3129.630403,3704.8,2731.98
2024,2,الربع الثانى,20242,الشرقية,الدمام,غرناطة,شقة,1,1000000,509.42,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الروضة,فيلا,11,6267000,2364.45,2343.191885,2592.58,1401.35
2024,2,الربع الثانى,20242,الشرقية,الدمام,السيف,فيلا,28,77479107,15128.98,5171.703578,6787.88,3850
2024,2,الربع الثانى,20242,الشرقية,الدمام,أحد,فيلا,14,9401838.33,4031.73,2521.4586,2832.5,1840.65
2024,2,الربع الثانى,20242,الشرقية,الدمام,الصفا,فيلا,3,1725617.16,459.73,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفيحاء,فيلا,5,2031873.77,976.39,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجامعيين,فيلا,1,375000,195.06,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجوهرة,فيلا,6,3962242.2,1176.42,2663.661934,2983.5,2366.22
2024,2,الربع الثانى,20242,الشرقية,الدمام,الأمانة,فيلا,4,5320000,1642.92,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الاسكان,فيلا,259,150160980.3,56602.82,2780.458322,2924.5,2663.36
2024,2,الربع الثانى,20242,الشرقية,الدمام,البديع,فيلا,1,650000,234.43,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الدانة,فيلا,1,1667250,447.76,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الشعلة,فيلا,89,78529892.29,25072.65,3052.964569,4544.7,2414.321046
2024,2,الربع الثانى,20242,الشرقية,الدمام,المزروعية,فيلا,1,400000,148.65,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,المنار,فيلا,18,31618425.51,9281.44,3378.803673,3757.46,2600
2024,2,الربع الثانى,20242,الشرقية,الدمام,الندى,فيلا,12,26889525.43,6794.78,3944.867347,4569.97,2185.58
2024,2,الربع الثانى,20242,الشرقية,الدمام,النور,فيلا,34,18644521.34,7536.08,2483.352207,2895,1566.2
2024,2,الربع الثانى,20242,الشرقية,الدمام,السلام,فيلا,2,1369822.13,382.13,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفيصلية,فيلا,10,16741981,3814.74,4597.442285,6080,3827.2
2024,2,الربع الثانى,20242,الشرقية,الدمام,النورس,فيلا,2,1370000,406.57,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجلوية,فيلا,1,450000,193.74,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الزهور,فيلا,2,450000,323.35,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,النهضة,فيلا,4,3736050,779.37,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفرسان,فيلا,4,2986455.85,1115.68,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفردوس,فيلا,4,1667125,655.27,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,ضاحية الملك فهد,فيلا,173,208285067.6,63250.5,3131.983735,4133.33,2444.64
2024,2,الربع الثانى,20242,الشرقية,الدمام,العزيزية,فيلا,2,552000,205.52,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,المنتزة,فيلا,2,2023750,614.84,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,طيبة,فيلا,9,6200542,2712.43,2341.760348,3066.07,1542.6
2024,2,الربع الثانى,20242,الشرقية,الدمام,هجر,فيلا,6,2864986,1131.89,3132.879139,3240.7,3025.09
2024,2,الربع الثانى,20242,الشرقية,الدمام,غرناطة,فيلا,7,6668000,2854.71,2139.851485,2820,1769.91
2024,2,الربع الثانى,20242,الشرقية,الدمام,بدر,فيلا,21,15902679.98,5233.58,2960.761375,3597.88,2116.4
2024,2,الربع الثانى,20242,الشرقية,الدمام,الأتصالات,قطعة أرض-تجارى,2,2200000,1300,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الانوار,قطعة أرض-تجارى,1,16924000,18015.4,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,البادية,قطعة أرض-تجارى,9,20495228,6616.32,2274.39225,3095,2188.73
2024,2,الربع الثانى,20242,الشرقية,الدمام,الحسام,قطعة أرض-تجارى,10,14718803,6541.69,2250.000076,2250,2250
2024,2,الربع الثانى,20242,الشرقية,الدمام,ابن خلدون,قطعة أرض-تجارى,2,3300000,1300.88,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,العزيزية,قطعة أرض-تجارى,1,3516000,1352.31,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الدانة,قطعة أرض-تجارى,4,6450000,2588,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,المزروعية,قطعة أرض-تجارى,1,2980000,783,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,أحد,قطعة أرض-تجارى,7,26022917,6887.55,3284.375102,4574.71,2214.29
2024,2,الربع الثانى,20242,الشرقية,الدمام,الأثير,قطعة أرض-تجارى,1,18600250,3086,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الحمراء,قطعة أرض-تجارى,1,1000000,500,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,السلام,قطعة أرض-تجارى,1,8006400,2566,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,هجر,قطعة أرض-تجارى,2,5424000,1989,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الخالدية الجنوبية,قطعة أرض-تجارى,3,43037600,20353.5,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الخالدية الشمالية,قطعة أرض-تجارى,3,4178000,2089,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الرابية,قطعة أرض-تجارى,1,2000000,744.5,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الجلوية,قطعة أرض-تجارى,1,5000000,1272,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,السيف,قطعة أرض-تجارى,19,40433249.75,20888.66,2240.968689,3950,1700
2024,2,الربع الثانى,20242,الشرقية,الدمام,القادسية,قطعة أرض-تجارى,1,2250000,880,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الشعلة,قطعة أرض-تجارى,24,1029336923,1692001.28,1870.040745,2650,1480
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفرسان,قطعة أرض-تجارى,5,4172340,3799.4,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,غرناطة,قطعة أرض-تجارى,2,4250000,1250,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,ميناء الملك عبد العزيز,قطعة أرض-تجارى,1,1500000,600,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الشروق,قطعة أرض-تجارى,4,3939750,2730,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,العمامرة,قطعة أرض-تجارى,1,320000,104.32,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفيصلية,قطعة أرض-تجارى,5,13160482.27,4255.77,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الضباب,قطعة أرض-تجارى,2,15300000,12074.34,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,الفيحاء,قطعة أرض-تجارى,1,1000000,623.22,NULL,NULL,NULL
2024,2,الربع الثانى,20242,الشرقية,الدمام,المحمدية,قطعة أرض-تجارى,1,1000000,331.28,NULL,NULL,NULL
