السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,الشرقية,الدمام,الجامعيين,شقة,89,56827735.77,16896,3368.830201,3716.76,3004.11
2024,3,الربع الثالث,20243,الشرقية,الدمام,السيف,شقة,121,81771862.93,19069.38,4247.606715,4721.75,3751.54
2024,3,الربع الثالث,20243,الشرقية,الدمام,الفردوس,شقة,14,7564298.99,2453.22,2998.457098,3496.9,2551.57
2024,3,الربع الثالث,20243,الشرقية,الدمام,بدر,شقة,42,23631149.12,8154.85,3216.81081,3698.45,2715.34
2024,3,الربع الثالث,20243,الشرقية,الدمام,البحيرة,شقة,8,5299628.68,1622.32,3565.601586,4114.64,3106.86
2024,3,الربع الثالث,20243,الشرقية,الدمام,الجلوية,شقة,6,2772672.1,1079.75,2466.540913,2499.71,2441.17
2024,3,الربع الثالث,20243,الشرقية,الدمام,الزهور,شقة,69,36827531.65,11248.06,3138.682297,3563.08,2768.66
2024,3,الربع الثالث,20243,الشرقية,الدمام,أحد,شقة,13,8042161.1,2547.55,3147.145444,3337.13,2960.28
2024,3,الربع الثالث,20243,الشرقية,الدمام,السلام,شقة,1,228440.92,176.6,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الشرقية,الدمام,المزروعية,شقة,5,2170432.73,750.48,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الشرقية,الدمام,الناصرية,شقة,2,800000,316.9,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الشرقية,الدمام,النور,شقة,142,67090829.96,22457.35,3058.613356,3572.28,2536.01
2024,3,الربع الثالث,20243,الشرقية,الدمام,الشعلة,شقة,172,89507469.66,29071.7,3012.700648,3618.58,2549.63
2024,3,الربع الثالث,20243,الشرقية,الدمام,الندى,شقة,14,7382799.25,2294.67,3105.490101,3570.5,2451.47
2024,3,الربع الثالث,20243,الشرقية,الدمام,الاسكان,شقة,6,1663000,1542.12,969.9948267,980.85,964.66
2024,3,الربع الثالث,20243,الشرقية,الدمام,البادية,شقة,2,676979,238.49,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الشرقية,الدمام,الجوهرة,شقة,12,7340500,2278.93,3026.356589,3247.68,2920.01
2024,3,الربع الثالث,20243,الشرقية,الدمام,تهامة,شقة,6,3003000,670.95,4472.027972,4497.22,4458.7
2024,3,الربع الثالث,20243,الشرقية,الدمام,ضاحية الملك فهد,شقة,6,4250000,1076.87,3170.376007,3170.38,3170.38
2024,3,الربع الثالث,20243,الشرقية,الدمام,هجر,شقة,67,44642539.05,11834.75,3763.704462,4098.81,3188.46
2024,3,الربع الثالث,20243,الشرقية,الدمام,الفيصلية,شقة,16,10625831.45,3355.55,3287.377861,3454.68,2984.54
2024,3,الربع الثالث,20243,الشرقية,الدمام,المنار,شقة,36,24984369.23,7204.16,3674.831704,4160.99,3181.11
2024,3,الربع الثالث,20243,الشرقية,الدمام,طيبة,شقة,28,20770862.55,5912.26,3672.079733,3914.09,3374.14
2024,3,الربع الثالث,20243,الشرقية,الدمام,العزيزية,شقة,8,4398542.82,1196.6,3510.99695,3711.88,3285.03
