السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,4,الربع الرابع,20244,الشرقية,الدمام,الدانة,شقة,1,690000,179.5,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,المزروعية,شقة,3,2545000,667.64,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الجوهرة,شقة,9,5503250,1613.44,3772.134751,4508.58,3019.45
2024,4,الربع الرابع,20244,الشرقية,الدمام,السيف,شقة,149,99883513.96,22351.04,4487.87084,4863.64,3964.76
2024,4,الربع الرابع,20244,الشرقية,الدمام,العنود,شقة,7,3125940,1040.87,3060.222945,3237.49,2880.98
2024,4,الربع الرابع,20244,الشرقية,الدمام,الندى,شقة,18,10319622.58,2931.71,3281.084745,3788.85,2726.15
2024,4,الربع الرابع,20244,الشرقية,الدمام,تهامة,شقة,3,1840000,360.78,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الفيحاء,شقة,42,19578754.08,6324.17,3124.216518,3488.36,2881.84
2024,4,الربع الرابع,20244,الشرقية,الدمام,الاسكان,شقة,8,2050000,2048.67,979.5374624,980.85,975.61
2024,4,الربع الرابع,20244,الشرقية,الدمام,البحيرة,شقة,5,3750000,983.4,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الروضة,شقة,9,3584250,1090.29,3314.055089,3314.06,3314.06
2024,4,الربع الرابع,20244,الشرقية,الدمام,البادية,شقة,1,307900,112.49,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الحمراء,شقة,2,1395000,191.24,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,بدر,شقة,49,33218009.34,10344.77,3163.100651,3619.09,2649.17
2024,4,الربع الرابع,20244,الشرقية,الدمام,الجامعيين,شقة,85,54551143.04,15434.72,3499.159271,3808.24,3254.82
2024,4,الربع الرابع,20244,الشرقية,الدمام,الجلوية,شقة,1,415000,131.52,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الزهور,شقة,64,36322693.95,10830.67,3445.609561,3712.72,3065.4
2024,4,الربع الرابع,20244,الشرقية,الدمام,الطبيشي,شقة,3,1540000,470.05,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الفردوس,شقة,11,6097446.29,1760.7,3227.638786,3541.7,2921.59
2024,4,الربع الرابع,20244,الشرقية,الدمام,الناصرية,شقة,3,1455000,466.78,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,أحد,شقة,17,7283447,3091.95,2822.33301,3256.62,1462.76
2024,4,الربع الرابع,20244,الشرقية,الدمام,الأمير محمد بن سعود,شقة,1,759000,177.25,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,ضاحية الملك فهد,شقة,3,3220000,677.38,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الفيصلية,شقة,11,7203058.9,2273,3044.466637,3344.67,2847.64
2024,4,الربع الرابع,20244,الشرقية,الدمام,المحمدية,شقة,1,550000,193.4,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,المنار,شقة,32,25828926,6932.97,3720.821967,4093.99,3416.47
2024,4,الربع الرابع,20244,الشرقية,الدمام,النور,شقة,169,71981471.7,25281.94,3046.159986,3509.43,2539.41
2024,4,الربع الرابع,20244,الشرقية,الدمام,النورس,شقة,1,805000,186.93,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الشعلة,شقة,135,85820876.88,27240.62,3194.588014,3611.46,2887.99
2024,4,الربع الرابع,20244,الشرقية,الدمام,العزيزية,شقة,4,2340721.27,629.89,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,المنتزة,شقة,65,46940950,10581.81,4392.440324,5020.15,3710.71
2024,4,الربع الرابع,20244,الشرقية,الدمام,طيبة,شقة,12,8174088,2420.68,3476.485141,3775.08,3201.55
2024,4,الربع الرابع,20244,الشرقية,الدمام,هجر,شقة,54,34954345,9007.2,3765.235684,4128.1,3490.4
2024,4,الربع الرابع,20244,الشرقية,الدمام,البحيرة,فيلا,2,1190000,523.96,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الاسكان,فيلا,173,111959904.8,43038.59,2799.107056,3001.7,2462.33
2024,4,الربع الرابع,20244,الشرقية,الدمام,البديع,فيلا,4,2085000,883.89,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الجامعيين,فيلا,3,3550000,852.2,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الجوهرة,فيلا,11,4883938.11,2556.16,2456.14297,3224.13,1474.87
2024,4,الربع الرابع,20244,الشرقية,الدمام,الفردوس,فيلا,4,1730000,619,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الشرقية,الدمام,الفيحاء,فيلا,11,5665280.72,2758.51,2158.472911,2629.39,1227.87
2024,4,الربع الرابع,20244,الشرقية,الدمام,أحد,فيلا,16,8462819.22,4186.72,1926.984594,2363.98,1529.02
2024,4,الربع الرابع,20244,الشرقية,الدمام,الأتصالات,فيلا,1,855000,309.96,NULL,NULL,NULL
