السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,1,الربع الأول,20241,الشرقية,الدمام,الدانة,شقة,1,450000,108.91,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,المزروعية,شقة,3,1533355.8,397.09,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الجوهرة,شقة,5,3166700,837.55,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الخالدية الشمالية,شقة,2,939000,269.52,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,السلام,شقة,5,2660000,599.96,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,السيف,شقة,103,61290542,14909.51,4125.124905,4876.39,3486.65
2024,1,الربع الأول,20241,الشرقية,الدمام,الندى,شقة,7,4980015,1270.09,4061.659424,4907.49,3250.04
2024,1,الربع الأول,20241,الشرقية,الدمام,تهامة,شقة,11,8745000,1674.27,5308.739174,7170.94,4649.2
2024,1,الربع الأول,20241,الشرقية,الدمام,الشروق,شقة,1,798000,215.48,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الضباب,شقة,4,2633350,801.71,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الفيحاء,شقة,41,20209400.17,6840.61,3181.685225,3492.6,2748.24
2024,1,الربع الأول,20241,الشرقية,الدمام,الاسكان,شقة,2,675000,509.76,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,البحيرة,شقة,7,5280000,1395.62,3656.94384,3881.18,3482.59
2024,1,الربع الأول,20241,الشرقية,الدمام,الحمراء,شقة,12,7420000,1742.54,4274.22739,7111.48,3375.98
2024,1,الربع الأول,20241,الشرقية,الدمام,الواحة,شقة,57,34132776,10400.67,3299.533136,3646.64,2960.06
2024,1,الربع الأول,20241,الشرقية,الدمام,بدر,شقة,25,15482186,4730.96,3199.894278,3939.74,2669.42
2024,1,الربع الأول,20241,الشرقية,الدمام,الجامعيين,شقة,93,57819532,16777.16,3419.482566,3995.55,2994.28
2024,1,الربع الأول,20241,الشرقية,الدمام,الجلوية,شقة,4,1435000,584.04,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الزهور,شقة,63,32127680.35,9387.19,3425.627699,3810.15,3067.69
2024,1,الربع الأول,20241,الشرقية,الدمام,الفردوس,شقة,23,13464220,3985.44,3260.377207,3826.69,2996.38
2024,1,الربع الأول,20241,الشرقية,الدمام,أحد,شقة,14,8413106,2791.22,3225.232703,3276.58,3182.96
2024,1,الربع الأول,20241,الشرقية,الدمام,الأمير محمد بن سعود,شقة,1,670000,174.24,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,ضاحية الملك فهد,شقة,40,23841863,7462.65,3396.817034,3659.76,3056.23
2024,1,الربع الأول,20241,الشرقية,الدمام,الفيصلية,شقة,26,17797894,5434.48,3255.575613,3613.77,2924.73
2024,1,الربع الأول,20241,الشرقية,الدمام,المحمدية,شقة,4,2465000,999.32,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,المنار,شقة,24,19336243,5452.45,3566.625468,3960.92,3299.35
2024,1,الربع الأول,20241,الشرقية,الدمام,النور,شقة,105,52380260.21,16225.59,3204.388131,3603.84,2843.16
2024,1,الربع الأول,20241,الشرقية,الدمام,الشعلة,شقة,46,31288536,8913.18,3428.125397,3933.945422,3107.96
2024,1,الربع الأول,20241,الشرقية,الدمام,العزيزية,شقة,6,3002060,794.63,3801.474955,4005.85,3432.09
2024,1,الربع الأول,20241,الشرقية,الدمام,المنتزة,شقة,33,23583000,5260.11,4576.17107,4964.26,4085.97
2024,1,الربع الأول,20241,الشرقية,الدمام,طيبة,شقة,18,12324534,3794.31,3314.111903,3689.5,2528.66
2024,1,الربع الأول,20241,الشرقية,الدمام,هجر,شقة,70,47309323.12,12758.57,3659.254078,3996.44,3222.63
2024,1,الربع الأول,20241,الشرقية,الدمام,الدانة,فيلا,1,1700000,447.78,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الأمانة,فيلا,4,5120000,1636.69,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الاسكان,فيلا,338,196879778.4,74387.08,2755.103064,2924.66,2613.41
2024,1,الربع الأول,20241,الشرقية,الدمام,البديع,فيلا,1,680000,188.08,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الفيحاء,فيلا,4,2262363,930.71,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,أحد,فيلا,9,6807266,2393.25,3094.61788,3749.94,2131.91
2024,1,الربع الأول,20241,الشرقية,الدمام,المنار,فيلا,20,44633528,11234.64,3432.79137,4333.33,2716.05
2024,1,الربع الأول,20241,الشرقية,الدمام,السلام,فيلا,1,210000,169.16,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الشعلة,فيلا,53,74852719.35,21424,3183.872196,4761.9,2123.95
2024,1,الربع الأول,20241,الشرقية,الدمام,الجلوية,فيلا,1,403400,136.44,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,السيف,فيلا,33,76632946,14919.11,4947.18442,6762.03,3700
2024,1,الربع الأول,20241,الشرقية,الدمام,النهضة,فيلا,2,1913135,389.66,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الجوهرة,فيلا,10,4036825.23,1633.57,2637.239185,3084.49,1313.24
2024,1,الربع الأول,20241,الشرقية,الدمام,الزهور,فيلا,1,300000,179.37,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الروضة,فيلا,5,1424999.1,707.97,NULL,NULL,NULL
2024,1,الربع الأول,20241,الشرقية,الدمام,الصفا,فيلا,14,6624066.98,2752.58,1916.946872,3654.39,1304.04
