month,publication_date,section,indicator,segment,sub_type,region,region_rank,metric,value,unit,mom_pct,yoy_pct,source_pdf
2026-03,2026-04-16,sales,txn_count,residential,,,,txn_count,14222,count,-22,-52,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,txn_count,non_residential,,,,txn_count,1500,count,-30,-52,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,txn_value,residential,,,,txn_value,12032001214,SAR,-18,-67,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,txn_value,non_residential,,,,txn_value,7344728375,SAR,-22,-60,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,avg_area,residential,,,,avg_area,408,m2,-1,-5,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,avg_area,non_residential,,,,avg_area,27219,m2,-35,2,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,avg_txn_value,residential,,,,avg_txn_value,741183,SAR,-2,-5,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,sales,avg_txn_value,non_residential,,,,avg_txn_value,2616062,SAR,6,2,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,rental,contract_count,residential,,,,contract_count,181951,count,-32,1,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,rental,contract_count,non_residential,,,,contract_count,46737,count,-29,-2,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,rental,transaction_count,residential,,,,transaction_count,205466,count,-39,-2,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,rental,transaction_count,non_residential,,,,transaction_count,69320,count,-35,-3,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,rental,transaction_value,residential,,,,transaction_value,4059120740,SAR,-42,7,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,rental,transaction_value,non_residential,,,,transaction_value,3600262979,SAR,-38,6,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_count,residential,land,,,txn_count,7720,count,-27,-59,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_count,residential,duplex,,,txn_count,641,count,-8,-19,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_count,residential,floor,,,txn_count,707,count,-7,-23,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_count,residential,apartment,,,txn_count,3529,count,-23,-43,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_count,residential,villa,,,txn_count,1277,count,0,-36,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_count,residential,other,,,txn_count,348,count,-23,-36,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_value,residential,land,,,txn_value,5867170725,SAR,-23,-76,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_value,residential,duplex,,,txn_value,729719384,SAR,-8,-28,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_value,residential,floor,,,txn_value,672003741,SAR,5,-22,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_value,residential,apartment,,,txn_value,2372674356,SAR,-21,-48,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_value,residential,villa,,,txn_value,1937149986,SAR,-2,-61,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,txn_value,residential,other,,,txn_value,453283022,SAR,-27,-67,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_area,residential,land,,,avg_area,554,m2,2,3,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_area,residential,duplex,,,avg_area,298,m2,-2,-6,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_area,residential,floor,,,avg_area,199,m2,-2,0,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_area,residential,apartment,,,avg_area,163,m2,0,0,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_area,residential,villa,,,avg_area,423,m2,-1,3,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_area,residential,other,,,avg_area,304,m2,-12,-64,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_txn_value,residential,land,,,avg_txn_value,579076,SAR,-11,-5,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_txn_value,residential,duplex,,,avg_txn_value,1182544,SAR,3,-5,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_txn_value,residential,floor,,,avg_txn_value,902015,SAR,6,2,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_txn_value,residential,apartment,,,avg_txn_value,676705,SAR,3,-6,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_txn_value,residential,villa,,,avg_txn_value,1453207,SAR,-6,-29,2026-03-monthly-bulletin.pdf
2026-03,2026-04-16,residential_breakdown,avg_txn_value,residential,other,,,avg_txn_value,844698,SAR,-26,-46,2026-03-monthly-bulletin.pdf
2026-02,2026-02-28,sales,txn_count,residential,,,,txn_count,18347,count,-8,-45,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,txn_count,non_residential,,,,txn_count,2132,count,-9,-42,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,txn_value,residential,,,,txn_value,14649041984,SAR,-16,-56,2026-02-monthly-bulletin.pdf
2026-02,2026-02-28,sales,txn_value,non_residential,,,,txn_value,9385400309,SAR,-14,-57,2026-02-monthly-bulletin.pdf
