yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,أخرى,1,120000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,أخرى,1,167177.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,أخرى,1,475000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,أخرى,2,1288550.0,
2021,2,الربع الثانى,20212,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,1570000.0,
2020,3,الربع الثالث,20203,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,4,1130000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,2,850000.0,
2019,4,الربع الرابع,20194,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,5,1650000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,830000.0,
2019,1,الربع الأول,20191,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,8,2910000.0,4226.91001
2022,1,الربع الأول,20221,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,5,2320000.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,2,975000.0,
2022,3,الربع الثالث,20223,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,1046000.0,
2021,4,الربع الرابع,20214,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,5,1770000.0,
2021,1,الربع الأول,20211,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,12,2119500.0,1090.605021
2022,2,الربع الثانى,20222,منطقة مكة المكرمة,جدة,الرحاب,أخرى,1,930000.0,
2020,4,الربع الرابع,20204,منطقة مكة المكرمة,جدة,الرحاب,أخرى,1,90000.0,
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,السبيل,أخرى,2,2461539.0,
2023,2,الربع الثانى,20232,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,1976400.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,أخرى,3,1500000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,أخرى,1,17280000.0,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصانع,أخرى,1,30000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,أخرى,29,12111318.0,2735.000212
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصانع,أخرى,1,100000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الناصرية,أخرى,3,611400.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,أخرى,1,750000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النظيم,أخرى,1,100000.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,أخرى,4,2991300.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الناصرية,أخرى,2,260000.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الناصرية,أخرى,1,80000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,أخرى,1,1050000.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,أخرى,2,700000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,غبيرا,أخرى,2,380000.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الناصرية,أخرى,1,200000.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الناصرية,أخرى,1,360000.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الناصرية,أخرى,1,50000.0,
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,عرقة,أخرى,1,10028208.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,أخرى,2,26635800.0,
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الناصرية,أخرى,1,1093593.0,
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,أخرى,5,2200000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,أخرى,6,3800000.0,19718.309859
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,أخرى,6,4400000.0,1317.529864
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,أخرى,4,1600000.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,أخرى,2,2100000.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,عرقة,أخرى,1,150000.0,
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,عرقة,أخرى,2,63531110.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصانع,أخرى,1,2681184.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,أخرى,1,907500.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,شقة,30,42375314.0,11283.13372
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الصحافة,شقة,41,39400526.0,5350.3982
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الصحافة,شقة,26,29923700.47,12604.208126
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,شقة,15,20264789.76,9414.120273
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الصحافة,شقة,35,55458560.0,8813.737898
2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,شقة,4,2475000.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,شقة,27,14041793.25,4780.114373
2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,شقة,1,340000.0,
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,شقة,2,1708050.0,
2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,شقة,3,1135000.0,
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الأندلس,شقة,4,1910000.0,
2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,شقة,2,797000.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,شقة,5,2541328.0,
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,ظهرة لبن,أخرى,1,476676.0,
2020,2,الربع الثانى,20202,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,1,400000.0,
2019,3,الربع الثالث,20193,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,4,1400000.0,
2018,4,الربع الرابع,20184,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,9,2855000.16,2935.282686
2018,1,الربع الأول,20181,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,1,450000.0,
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,أخرى,15,12508700.0,10920.000186
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,شقة,2,958488.0,
2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,شقة,6,2851483.0,3832.177761
2023,2,الربع الثانى,20232,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,5,8563030.4,
2022,3,الربع الثالث,20223,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,4,3422000.0,
2023,3,الربع الثالث,20233,منطقة المدينة المنورة,المدينه المنوره,الدفاع,شقة,2,850000.0,
2022,4,الربع الرابع,20224,منطقة المدينة المنورة,المدينه المنوره,الدفاع,شقة,4,2726000.0,
2022,2,الربع الثانى,20222,منطقة المدينة المنورة,المدينه المنوره,الدفاع,شقة,17,11395093.0,3317.339405
2021,4,الربع الرابع,20214,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,35,18838969.4,2756.391784
2021,1,الربع الأول,20211,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,41,22998282.0,2921.403625
2022,2,الربع الثانى,20222,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,9,7190000.0,3634.590257
2023,1,الربع الأول,20231,منطقة المدينة المنورة,المدينه المنوره,الجماوات,شقة,8,3740000.0,2049.701733
2019,2,الربع الثانى,20192,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,18,13378420.26,2920.044894
2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,شقة,2,1404275.0,
2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,شقة,3,1457194.0,
2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,شقة,6,3126000.0,3068.730538
2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الأندلس,شقة,6,3052296.0,3428.981973
2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,شقة,27,21343418.69,5219.7905
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الصحافة,شقة,84,66559902.04,5347.29584
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الصحافة,شقة,194,490676767.47,8709.668172
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,شقة,33,53591977.19,10000.459107
2019,2,الربع الثانى,20192,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,3,1900000.0,
2018,3,الربع الثالث,20183,منطقة مكة المكرمة,جدة,أبحر الشمالية,أخرى,7,1919000.0,3592.873508
2023,3,الربع الثالث,20233,منطقة مكة المكرمة,جدة,الرحاب,شقة,10,6729147.0,4146.117742
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,الرحاب,شقة,3,2010000.0,
2022,1,الربع الأول,20221,منطقة مكة المكرمة,جدة,الرحاب,شقة,16,9805556.52,4015.05857
2019,3,الربع الثالث,20193,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,6500000.0,
2022,4,الربع الرابع,20224,منطقة مكة المكرمة,جدة,اللؤلؤ,أخرى,1,1277500.0,
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الصحافة,شقة,18,22028740.54,13125.399706
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,أخرى,4,50480200.0,
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,عرقة,أخرى,1,385000.0,
2021,1,الربع الأول,20211,منطقة الرياض,الرياض,عرقة,أخرى,1,200000.0,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النظيم,شقة,5,1899046.68,
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النظيم,شقة,2,505540.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النظيم,شقة,9,2752926.0,2170.579526
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النظيم,شقة,2,435000.0,
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,غبيرا,أخرى,1,125000.0,
2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النظيم,شقة,10,5030049.0,3697.999446
2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النظيم,شقة,3,1302384.0,
2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,شقة,27,9481608.01,2356.912404
2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,حطين,شقة,231,261450427.0,8554.253649
2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,شقة,13,11934267.21,6921.290086
2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,حطين,شقة,135,110090694.34,5543.133731
2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الأندلس,شقة,1,497999.56,
2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الأندلس,شقة,7,3726276.0,3826.939615
2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الأندلس,شقة,3,1090000.0,
2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,شقة,6,4252217.0,3041.248065
2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,شقة,1,380000.0,
2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,شقة,2,500000.0,
2018,3,الربع الثالث,20183,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,6,3620884.38,2143.918108
2018,4,الربع الرابع,20184,منطقة المدينة المنورة,المدينه المنوره,شوران,أخرى,1,145000.0,
2023,1,الربع الأول,20231,منطقة المدينة المنورة,المدينه المنوره,,شقة,1,600000.0,
2021,2,الربع الثانى,20212,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,38,20719437.2,3000.316762
2020,3,الربع الثالث,20203,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,25,12276355.0,2521.542764
2019,4,الربع الرابع,20194,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,31,20339555.7,2965.181034
2019,1,الربع الأول,20191,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,8,4681445.07,2931.819864
2023,2,الربع الثانى,20232,منطقة المدينة المنورة,المدينه المنوره,,أخرى,2,2179654.0,
2020,2,الربع الثانى,20202,منطقة المدينة المنورة,المدينه المنوره,شوران,شقة,27,15607719.0,2681.76089
