القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
Table 12e: Real Estate Loans by Banks,,,,جدول 12e: القروض العقارية من المصارف التجارية 
(Million ﷼),,,,(مليون ﷼)
نهاية الفترة,,الأفراد,الشركات,الإجمالي,
End of Period,,Retail,Corporate,Total,
2009,,28211,25534.400000000001,53745.4,
2010,,32978,26990,59968,
2011,,42314,27897,70211,
2012,,53576,34448,88024,
2013,,70648,44920,115568,
2014,,94562,61191,155753,
42369,,102503,82799,185302,
42735,,110484,89918,200402,
43100,,121248.785,89743.584000000003,210992.36900000001,
43465,,140276.139,98267.964000000007,238544.103,
43830,,198099.61799999999,99272.327999999994,297371.946,
44196,,315198.72899999999,113212.49,428411.21899999998,
44561,,445754.20699999999,123101.899,568856.10600000003,
44926,,549779.821,138053.02299999999,687832.84400000004,
45291,,607220.44499999995,160049.899,767270.34399999992,
45657,,681240.45700000005,202038.117,883278.57400000002,
46022,,729955.01599999995,221347.40100000001,951302.4169999999,
Q1,2009,18167,25694,43861,
Q2,2009,23708,26076.400000000001,49784.4,
Q3,2009,25341,26052.400000000001,51393.4,
Q4,2009,28211,25534.400000000001,53745.4,
Q1,2010,26452,25408.400000000001,51860.4,
Q2,2010,28729,26431.200000000001,55160.2,
Q3,2010,31166.000000000004,25857.599999999999,57023.600000000006,
Q4,2010,32978,26989.599999999999,59967.6,
Q1,2011,34064,27176.400000000001,61240.4,
Q2,2011,37510,28724.800000000003,66234.8,
Q3,2011,40199,29205,69404,
Q4,2011,42314,27897,70211,
Q1,2012,45576,31632,77208,
Q2,2012,47744,32678,80422,
Q3,2012,48946,36163,85109,
Q4,2012,53576,34448,88024,
Q1,2013,58203,35622,93825,
Q2,2013,64017,43430,107447,
Q3,2013,66542,42274,108816,
Q4,2013,70648,44920,115568,
Q1,2014,77068,47533,124601,
Q2,2014,84673,54100,138773,
Q3,2014,88768,60380,149148,
Q4,2014,94562,61191,155753,
Q1,2015,95881,65844,161725,
Q2,2015,98448,68450,166898,
Q3,2015,100546,71024,171570,
Q4,2015,102503,82799,185302,
Q1,2016,106292,82240,188532,
Q2,2016,108418,78634,187052,
Q3,2016,109482,88104,197586,
Q4,2016,110484,89918,200402,
Q1,2017,111602,93054,204656,
Q2,2017,115021,96853,211874,
Q3,2017,117171.156,96465.085999999996,213636.242,
Q4,2017,121248.785,89743.584000000003,210992.36900000001,
Q1,2018,124723.618,92097.737999999998,216821.356,
Q2,2018,128277.599,87307.837,215585.43599999999,
Q3,2018,132059.65400000001,95290.198000000004,227349.85200000001,
Q4,2018,140276.139,98267.964000000007,238544.103,
Q1,2019,150893.473,97124.043999999994,248017.51699999999,
Q2,2019,162496.087,96684.422999999995,259180.51,
Q3,2019,176682.15,99216.077000000005,275898.22700000001,
Q4,2019,198099.61799999999,99272.327999999994,297371.946,
Q1,2020,225090.86199999999,104180.74800000001,329271.61,
Q2,2020,250287.497,109608.16099999999,359895.658,
Q3,2020,279231.13199999998,112913.56299999999,392144.69499999995,
Q4,2020,315198.72899999999,113212.49,428411.21899999998,
Q1,2021,358006.55900000001,116513.56600000001,474520.125,
Q2,2021,384668.34100000001,118066.764,502735.10499999998,
Q3,2021,412601.935,120847.83,533449.76500000001,
Q4,2021,445754.20699999999,123101.899,568856.10600000003,
Q1,2022,476162.41899999999,129351.03999999999,605513.45900000003,
Q2,2022,503224.53399999999,135043.16500000001,638267.69900000002,
Q3,2022,529568.098,133117.32999999999,662685.42799999996,
Q4,2022,549779.821,138053.02299999999,687832.84400000004,
Q1,2023,566904.06599999999,139049.42000000001,705953.48600000003,
Q2,2023,582345.74600000004,148933.14000000001,731278.88600000006,
Q3,2023,591700.38100000005,155502.421,747202.80200000003,
Q4,2023,607220.44499999995,160049.899,767270.34399999992,
Q1,2024,625239.55099999998,175224.71799999999,800464.26899999997,
Q2,2024,639526.27899999998,175118.71599999999,814644.995,
Q3,2024,656881.44299999997,189598.54399999999,846479.98699999996,
Q4,2024,681240.45700000005,202038.117,883278.57400000002,
Q1,2025,698760.24899999995,211172.628,909932.87699999998,
Q2,2025,716455.58,213697.96400000001,930153.54399999999,
Q3,2025,726149.04099999997,211848.51199999999,937997.55299999996,
Q4,2025,729955.01599999995,221347.40100000001,951302.4169999999,
