القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
42735,,20132,---,---,---,14929.584387619001
43100,,28469,---,---,---,18922.87238819
43465,,46820,21971.682910479998,3407.8566230800002,2361.5997387799998,27741.139272339999
43830,,135779,56515.870200537996,11307.236456631999,11139.606007728,78962.712664898005
44196,,225073,93260.956780018925,21915.326206279999,35609.157358514909,150785.4403448138
44561,,201481,96192.517725964019,28400.79096626,27947.859146161798,152541.16783838579
44926,,154392,83968.960188959973,27239.317463019997,9065.7205426389992,120273.99819461895
45291,,102853,53333.238473395977,20245.232361520702,4160.9299697120005,77739.400804628691
45657,,122302,58299.647501010018,28085.058674596999,4677.4048646399988,91062.111040247008
46022,,108795,51438.658978347994,24304.081324469003,4675.9589936900002,80418.699296506995
Q1,2016,6605,---,---,---,5378.7099186289997
Q2,2016,5704,---,---,---,4129.9128128599996
Q3,2016,4186,---,---,---,2864.2686607100004
Q4,2016,3637,---,---,---,2556.69299542
Q1,2017,5474,---,---,---,3701.326399
Q2,2017,6876,---,---,---,4687.0186003700001
Q3,2017,7196,---,---,---,4703.0245154599997
Q4,2017,8923,---,---,---,5831.5028733600002
Q1,2018,9228,4643.1618381799999,862.49289535000003,462.21012171999996,5967.8648552499999
Q2,2018,9276,4671.2064572700001,614.72441820000006,404.40504870000007,5690.33592417
Q3,2018,10263,4704.2413148899996,524.79399020999995,420.52659790000001,5649.5619029999998,
Q4,2018,18053,7953.0733001399994,1405.8453193199998,1074.4579704600001,10433.376589920001,
Q1,2019,25596,10959.37043443,2161.4688565399997,1619.7150022000001,14740.55429317,
Q2,2019,28046,11921.385122539999,2276.8441709899998,1873.0813054400001,16071.310598970002,
Q3,2019,33604,13851.693391889999,2783.3732592900001,2858.1751098779996,19493.241761058001,
Q4,2019,48533,19783.421251677999,4085.5501698120001,4788.6345902100002,28657.606011700002,
Q1,2020,56134,21733.864831507999,4669.9483188899994,8206.6412186154903,34610.454369013503,
Q2,2020,47089,20852.06393333224,4290.0062852499996,6637.908476091,31779.978694673202,
Q3,2020,56048,22570.57290599,5846.3275850500004,8736.5795180599998,37153.4800091,
Q4,2020,65802,28104.455109188704,7109.0440170900001,12028.02814574842,47241.527272027095,
Q1,2021,65667,28932.605015447502,8315.9900795600006,11802.1418065778,49050.736901585296,
Q2,2021,42693,18027.578254222499,6138.0601860699999,8657.5563269099985,32823.194767202498,
Q3,2021,45405,20634.351208234999,7216.0181114650004,6303.1906369050002,34153.559956605,
Q4,2021,47716,28597.983248059034,6730.7225891649996,1184.9703757689999,36513.676212992999,
Q1,2022,47056,25445.110833324972,6559.4418602799997,4206.0703527800006,36210.313243235025,
Q2,2022,38685,22101.874805297961,6478.9600255400001,2570.8318088089991,31151.666639646959,
Q3,2022,38204,20707.28997213802,7956.1705615139999,1151.44497462,29814.905508272022,
Q4,2022,30447,15714.68457819902,6244.7450156859995,1137.3734064299999,23096.80300031502,
Q1,2023,30213,15657.850433968,5883.6382191480006,1220.5211399249999,22762.009793041001,
Q2,2023,21773,11708.817691909,4212.9276256167004,993.88087414799998,16915.626191673698,
Q3,2023,23879,12841.364486879989,4565.0532038290003,997.08353263999993,18403.501223348991,
Q4,2023,26988,13125.205860638991,5583.6133129270002,949.44442299900004,19658.26359656499,
Q1,2024,30329,14572.85509733001,6183.5339708199999,1346.5433598199991,22102.932427970009,
Q2,2024,24482,12222.298484270001,5157.9773601380002,941.95551112999988,18322.231355537999,
Q3,2024,28035,12054.512120900001,7247.704480419,1188.1074517500001,20490.324053069002,
Q4,2024,39456,19449.981798510009,9495.8428632200012,1200.79854194,30146.623203670009,
Q1,2025,36280,17396.440364899987,9047.8816519200009,1325.62800161,27769.95001842999,
Q2,2025,25569,12180.811851069,5491.0652475389998,1319.75248818,18991.629586788004,
Q3,2025,24535,11547.005777659011,5519.4763505000001,1030.8711351699999,18097.353263329009,
Q4,2025,22411,10314.40098472,4245.65807451,999.7073687300001,15559.766427959999,
42400,,1942,---,---,---,1883.797528458
42429,,2349,---,---,---,1798.958525323
42460,,2314,---,---,---,1695.953864848
42490,,1856,---,---,---,1362.48552978
42521,,2101,---,---,---,1427.1007984400001
42551,,1747,---,---,---,1340.32648464
42582,,1026,---,---,---,683.62822957000003
42613,,1973,---,---,---,1375.9664092800001
42643,,1187,---,---,---,804.67402186000004
42674,,1160,---,---,---,864.44383398000002
42704,,1285,---,---,---,905.30334142000004
42735,,1192,---,---,---,786.94582002000004
42766,,1319,---,---,---,828.55828235000001
42794,,1784,---,---,---,1206.2213789100001
42825,,2371,---,---,---,1666.54673774
42855,,2287,---,---,---,1627.8418579500001
42886,,2826,---,---,---,1867.9537811600001
42916,,1763,---,---,---,1191.2229612599999
42947,,2504,---,---,---,1691.0755966700001
42978,,2868,---,---,---,1854.54384736
43008,,1824,---,---,---,1157.4050714299999
43039,,3188,---,---,---,2050.6818992600001
43069,,3062,---,---,---,2010.1143490500001
43100,,2673,---,---,---,1770.70662505
43131,,2553,1286.18231223,228.91349345,127.98387468999999,1643.07968037
43159,,2959,1450.7604699999999,298.44175416000002,159.26127862999999,1908.4635027899999
43190,,3716,1906.21905595,335.13764773999998,174.9649684,2416.32167209
43220,,3894,2016.3911355299999,285.67004199000002,176.48563433000001,2478.5468118499998
43251,,3707,1863.7016016699999,224.69091742000001,164.00434437000001,2252.3968634600001
43281,,1675,791.11372007,104.36345879,63.91507,959.39224886
43312,,4031,1920.98694015,189.28356034999999,156.72189087000001,2266.99239137
43343,,2742,1251.25437474,143.51042985999999,114.80470703,1509.5695116300001
43373,,3490,1532,192,149,1873
43404,,5642,2445.1196573399998,448.37064500999998,338.14282799,3231.6331303400002
43434,,6209,2730.68279024,525.39077239999995,371.36380747999999,3627.4373701200002
43465,,6202,2777.2708525600001,432.08390191000001,364.95133499000002,3574.3060894599998
43496,,8063,3504.5674150700002,723.07354651000003,478.29082445,4705.9317860299998
43524,,7871,3339.6171531800001,659.33447666999996,512.55441783000003,4511.5060476799999
43555,,9662,4115.1858661799997,779.06083335999995,628.86975991999998,5523.1164594600004
43585,,11066,4733.2208169599999,921.74350663999996,702.16236664999997,6357.1266902500001
43616,,9538,4049.7168094200001,752.18996342000003,644.95704305000004,5446.8638158900003
43646,,7442,3138.4474961599999,602.91070092999996,525.96189574000005,4267.3200928300002
43677,,12643,5249.4053030499999,1051.65320836,979.70404470999995,7280.7625561200002
43708,,8902,3585.1693582299999,767.52467393999996,829.31903878000003,5182.0130709499999
43738,,12059,5017.1187306100001,964.19537699,1049.152026388,7030.4661339880004
43769,,16131,6570.5150364499996,1333.758481692,1461.7061452600001,9365.9796634020004
43799,,15551,6182.6936825700004,1434.2836586000001,1581.3659663599999,9198.3433075299999
43830,,16851,7030.2125326579999,1317.50802952,1745.56247859,10093.283040767999
43861,,18489,7126.0180216099998,1365.9382527099999,2592.33994463,11084.296218949999
43890,,19086,7731.0595868680002,1449.1082277200001,2502.0799845654901,11682.2477991535
43921,,18559,6876.78722303,1854.9018384599999,3112.2212894200002,11843.91035091
43951,,13305,5423.8321343099997,1282.8072877899999,1930.3433119399999,8636.9827340400007
43982,,12961,5620.86967362,1412.0679385999999,1717.850965891,8750.7885781109999
44012,,20823,9807.3621254022401,1595.1310588599999,2989.7141982600001,14392.2073825222
44043,,18692,7389.05685756,1887.2483011300001,2944.4907998600002,12220.795958549999
44074,,16724,6664.0124440299996,1780.6645285100001,2429.22352761,10873.900500150001
44104,,20632,8517.5036044000008,2178.41475541,3362.8651905900001,14058.7835504
44135,,18083,7834.5003029625004,1903.9552982299999,3020.7560053074999,12759.211606499999
44165,,23120,9953.3886118499995,2645.48070143,4079.2718288900001,16678.14114217
