القائمة الرئيسية   Main List,,,,,,,,قائمة شركات التمويل       Finance Companies 
Table 3:  Finance Companies' Credit Classified by Activity,,,,,,,,جدول 3: القروض من شركات التمويل حسب النشاط
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,التمويل العقاري السكني,التمويل العقاري التجاري,تمويل المركبات,تمويل بطاقات الائتمان,التمويل الشخصي,أخرى,الإجمالي
End of,,Residential Real,Commercial Real,,,,,
 Period,, Estate Finance, Estate Finance,Auto Finance,Credit Card Finance,Personal Finance,Other,Total
2018,,13339.411362708501,3469.9695770639701,23833.125829877201,822.32600000000002,2441.8712062381401,3762.8072431358801,47669.511219023691
2019,,16939.747048556801,3967.84798242528,20826.833264773799,896.73400000499305,2527.4511800918099,4157.8822657359096,49316.495741588595
2020,,20141.483842857699,3870.7881849999999,17281.144802606501,520.70843300000001,6202.5198019999998,6108.51227567763,54125.157341141836
2021,,22002.189094978501,4304.9858320000003,18477.152052540001,794.94037100000003,14492.44403165,8001.35236314537,68073.063745313877
2022,,22481.0735808959,4549.6145345641298,19192.63185097,942.47836934998998,19193.673393000001,9089.6475292015493,75449.119257981583
2023,,23096.7630658696,4100.8271995958303,21188.50820117,1270.018474,23288.866616449999,11799.1666715763,84744.150228661732
2024,,23359.78589168,4916.9638007517397,25136.003988543001,1935.243013,27609.64759248,13278.758607276901,96236.402893731647
2025,,23071.55,6023.75,29053.13,2184.5,31222.99,15735.75,107291.67
Q1,2018,12300.4580945243,3410.0509249663,27043.769554675098,790.18299999999999,2241.0204132865301,3621.2590851739801,49406.74107262621
Q2,2018,12670.6151390579,3356.1648500605102,26148.060681618499,791.928,2319.8363979738001,3587.4957001139001,48874.100768824603
Q3,2018,12905.783880151401,3403.9686779489102,24959.853039297199,866.80600000000004,2354.0106256292902,3620.24522362173,48110.667446648527
Q4,2018,13339.411362708501,3469.9695770639701,23833.125829877201,822.32600000000002,2441.8712062381401,3762.8072431358801,47669.511219023691
Q1,2019,14113.6391249715,3530.0472406947001,22820.088552621699,808.22274919300003,2561.3715850062999,3776.1749773961901,47609.544229883395
Q2,2019,14865.6488403845,3419.5727623248299,21568.4908523171,859.04300000000001,2728.8946941823601,3989.4153655595601,47431.065514768343
Q3,2019,15812.9166890743,3412.2414589884802,21048.265683281901,915.69399999999996,2910.1132550000002,4032.12058902426,48131.351675368947
Q4,2019,16939.747048556801,3967.84798242528,20826.833264773799,896.73400000499305,2527.4511800918099,4157.8822657359096,49316.495741588595
Q1,2020,17882.6793853698,3579.3922784503802,20039.995416549202,636.66700000000003,2708.9192323000002,4016.9243736182102,48864.577686287594
Q2,2020,18589.404305560001,3758.40734079,19504.6782291827,454.19838199999998,3056.1662099999999,4537.5951368312499,49900.449604363959
Q3,2020,19332.680933614,3833.0183445299999,17713.773008533499,497.22009300000002,4505.5029789999999,5132.2425912455301,51014.437949923027
Q4,2020,20141.483842857699,3870.7881849999999,17281.144802606501,520.70843300000001,6202.5198019999998,6108.51227567763,54125.157341141836
Q1,2021,20826.758297300399,4053.197099,18127.174993299999,499.37825099999998,8734.1599279999991,6607.8201207286802,58848.488689329082
Q2,2021,21360.804103570601,4083.9401520000001,18339.423190000001,652.78191000000004,10183.45114193,6938.3608293069901,61558.761326807587
Q3,2021,21734.824099674301,4298.1373590000003,18508.038391900001,767.86949700000002,13023.364521519999,7383.7861780144904,65716.020047108788
Q4,2021,22002.189094978501,4304.9858320000003,18477.152052540001,794.94037100000003,14492.44403165,8001.35236314537,68073.063745313877
Q1,2022,22160.16159743,4475.3590249999997,18756.644164699999,882.80637200000001,16288.290889469999,8450.0352055300009,71013.297254129997
Q2,2022,22247.697134540002,4397.4793360000003,19096.963009750001,938.590238,17341.071252000002,8531.1046630000001,72552.905633290007
Q3,2022,22324.282935934702,4475.1053030000003,18890.711595150002,985.92012329500005,18229.824387000001,8959.3424542799403,73865.186798659648
Q4,2022,22481.0735808959,4549.6145345641298,19192.63185097,942.47836934998998,19193.673393000001,9089.6475292015493,75449.119257981583
Q1,2023,22788.585191900602,4281.3034951094096,19295.394175580001,1033.5928075500001,20348.815385990001,11144.9738408299,78892.664896959919
Q2,2023,22868.575667302201,4140.1174884278198,19934.554900570001,1157.10527479999,21429.771911700002,11181.319273041399,80711.444515841416
Q3,2023,22916.340475369801,4098.9059175401699,20155.666782029999,1224.907209,22128.954602239999,11524.478202439999,82049.253188619972
Q4,2023,23096.7630658696,4100.8271995958303,21188.50820117,1270.018474,23288.866616449999,11799.1666715763,84744.150228661732
Q1,2024,22908.587435050002,4443.1420930000004,22724.609371909999,1361.280728,25124.230424860001,12025.3274760322,88587.177528852189
Q2,2024,22908.357632489999,4608.4228657399999,23160.5389612,1614.823018,25585.464038869999,12305.9600624618,90183.566578761805
Q3,2024,22856.72193471,5059.7293518899996,23801.246609428599,1852.554666,27091.455531299998,12334.3450019049,92996.05309523351
Q4,2024,23359.78589168,4916.9638007517397,25136.003988543001,1935.243013,27609.64759248,13278.758607276901,96236.402893731647
Q1,2025,23140.11612495,5321.83650350067,25958.014647939701,1839.1864909999999,28031.0846676,13901.0738316228,98191.312266613168
Q2,2025,22984.110061060401,5659.5646985000003,25930.710317106099,2124.1423,28668.410948870001,14004.007254767101,99370.945580303596
Q3,2025,23002.500455670001,5769.8945727630198,27157.838859735799,2278.61159,30040.585252109999,14444.773549944201,102694.20428022303
Q4,2025,23071.55,6023.75,29053.13,2184.5,31222.99,15735.75,107291.67
