القائمة الرئيسية   Main List,,,,قائمة شركات التمويل       Finance Companies ,
Table 4: Real Estate Loans by Finance companies,,,,جدول 4: القروض العقارية من شركات التمويل
(Million ﷼),,,,(مليون ﷼)
نهاية الفترة,,الأفراد,الشركات,الإجمالي
End of Period,,Retail,Corporate,Total
2010,,2225.7371101999997,531.68989485999998,2757.4270050599998
2011,,4590.2546150799999,707.82695770000009,5298.08157278
2012,,6544.5947172000997,842.93715462,7387.5318718200997,
2013,,8623.5011933105998,1105.7561797147998,9729.2573730253989
2014,,9516.1102520019995,1533.8423851929999,11049.952637195
2015,,10163.1329227485,1967.3680655185999,12130.5009882671
42735,,11402.18803773,2189.6033151049801,13591.79135283498
43100,,12136.570131053901,2615.3645932189302,14751.934724272831
43465,,13339.411362708501,3469.9695770639701,16809.380939772469
43830,,16939.747048556801,3967.84798242528,20907.59503098208
44196,,20141.483842857699,3870.7881849999999,24012.2720278577
44561,,22002.189094978501,4304.9858320000003,26307.1749269785
44926,,22481.0735808959,4549.6145345641298,27030.688115460031
45291,,23096.7630658696,4100.8271995958303,27197.590265465431
45657,,23359.78589168,4916.9638007517397,28276.749692431738
46022,,23071.55,6023.75,29095.3
Q1,2014,9050.1674526990701,1217.8248350162,10267.992287715269
Q2,2014,9342.7183077669997,1299.0155332460999,10641.7338410131
Q3,2014,9413.5250494360007,1346.9038523060001,10760.428901742001
Q4,2014,9516.1102520019995,1533.8423851929999,11049.952637195
Q1,2015,9632.9886270017996,1575.0090184081,11207.9976454099
Q2,2015,9827.9407432117005,1517.4814652570999,11345.422208468801
Q3,2015,9969.1334991067997,1726.0115365332999,11695.1450356401
Q4,2015,10163.1329227485,1967.3680655185999,12130.5009882671
Q1,2016,10410.983572384401,2095.3898185749899,12506.37339095939
Q2,2016,10797.04960394,2152.5685249093999,12949.618128849401
Q3,2016,11101.199351834901,2175.1906463384998,13276.389998173401
Q4,2016,11402.18803773,2189.6033151049801,13591.79135283498
Q1,2017,11732.95912259,2153.9692522300002,13886.92837482
Q2,2017,11930.658087670001,2181.9354345699999,14112.59352224
Q3,2017,11834.5826481658,2600.6094366541802,14435.192084819981,,,,,,
Q4,2017,12136.570131053901,2615.3645932189302,14751.934724272831,,,,,,
Q1,2018,12300.4580945243,3410.0509249663,15710.509019490601,,,,,,
Q2,2018,12670.6151390579,3356.1648500605102,16026.77998911841,,,,,,
Q3,2018,12905.783880151401,3403.9686779489102,16309.75255810031,,,,,,
Q4,2018,13339.411362708501,3469.9695770639701,16809.380939772469,,,,,,
Q1,2019,14113.6391249715,3530.0472406947001,17643.686365666199,,,,,,
Q2,2019,14865.6488403845,3419.5727623248299,18285.221602709331,,,,,,
Q3,2019,15812.9166890743,3412.2414589884802,19225.158148062779
Q4,2019,16939.747048556801,3967.84798242528,20907.59503098208
Q1,2020,17882.6793853698,3579.3922784503802,21462.071663820181
Q2,2020,18589.404305560001,3758.40734079,22347.811646350001
Q3,2020,19332.680933614,3833.0183445299999,23165.699278143999
Q4,2020,20141.483842857699,3870.7881849999999,24012.2720278577
Q1,2021,20826.758297300399,4053.197099,24879.9553963004
Q2,2021,21360.804103570601,4083.9401520000001,25444.7442555706
Q3,2021,21734.824099674301,4298.1373590000003,26032.961458674301
Q4,2021,22002.189094978501,4304.9858320000003,26307.1749269785
Q1,2022,22160.16159743,4475.3590249999997,26635.520622429998
Q2,2022,22247.697134540002,4397.4793360000003,26645.176470540002
Q3,2022,22324.282935934702,4475.1053030000003,26799.388238934702
Q4,2022,22481.0735808959,4549.6145345641298,27030.688115460031
Q1,2023,22788.585191900602,4281.3034951094096,27069.88868701001
Q2,2023,22868.575667302201,4140.1174884278198,27008.693155730019
Q3,2023,22916.340475369801,4098.9059175401699,27015.246392909972
Q4,2023,23096.7630658696,4100.8271995958303,27197.590265465431
Q1,2024,22908.587435050002,4443.1420930000004,27351.729528050004
Q2,2024,22908.357632489999,4608.4228657399999,27516.78049823
Q3,2024,22856.72193471,5059.7293518899996,27916.4512866
Q4,2024,23359.78589168,4916.9638007517397,28276.749692431738
Q1,2025,23140.11612495,5321.83650350067,28461.952628450672
Q2,2025,22984.110061060401,5659.5646985000003,28643.674759560403
Q3,2025,23002.500455670001,5769.8945727630198,28772.39502843302
Q4,2025,23071.55,6023.75,29095.3
