القائمة الرئيسية   Main List,,,,,,قائمة شركات التمويل       Finance Companies 
Table 7: Residential New Mortgages Finance For Individuals Provided by Finance Companies,,,,,,جدول 7:التمويل العقاري السكني الجديد للأفراد المقدم من شركات التمويل
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
42735,,2127,---,---,---,2165.7830519300001
43100,,2364,---,---,---,2102.2572206199998
43465,,3582,1874.77904349,458.29181039000002,127.70480808999997,2460.7756619699999
43830,,9027,4168.6993495300003,1004.22619904,113.94019726999998,5286.8657458400003
44196,,6411,3511.9802939300007,998.21212731000014,82.018524720000016,4592.2109459600015
44561,,4590,2563.9454654000001,1094.5916243200002,108.9268972,3767.46398692
44926,,3431,1544.89297461,1335.17582769,206.02210057000002,3086.0909028699998
45291,,3594,1157.4168496100001,1481.1987594100001,418.14591825999997,3056.7615272800003
45657,,3024,1044.6885874500001,1200.3471599499999,323.45668169999999,2568.4924290999998
46022,,2793,866.57573070000001,1276.4165535299999,344.24468844,2487.2369726699999
Q1,2016,439,---,---,---,481.98021400000005
Q2,2016,640,---,---,---,659.42710966999994
Q3,2016,557,---,---,---,570.44747028000006
Q4,2016,491,---,---,---,453.92825798000001
Q1,2017,623,---,---,---,608.86852468999996
Q2,2017,549,---,---,---,462.60725042999997
Q3,2017,487,---,---,---,442.56317337000007
Q4,2017,705,---,---,---,588.21827213000006
Q1,2018,562,312.14314646000003,99.166416640000008,26.781165999999999,438.09072910000003
Q2,2018,993,522.11172956999997,102.75302186,25.308963860000002,650.1737152899999
Q3,2018,758,417.64325773000002,82.488066959999998,31.97968723,532.11101192000001
Q4,2018,1269,622.88090972999998,173.88430493000001,43.634990999999999,840.40020565999998
Q1,2019,1826,843.30586607999999,190.07827185999997,47.44614953,1080.8302874699998
Q2,2019,2046,856.62001221999992,216.98007409999997,18.548047320000002,1092.14813364
Q3,2019,2463,1146.8010030999999,267.20329713000001,16.1611446,1430.1654448299998
Q4,2019,2692,1321.9724681300002,329.96455594999998,31.784855819999997,1683.7218799000002
Q1,2020,2087,1068.9763317700001,280.13936242,27.665398,1376.7810921900002
Q2,2020,1115,710.05336599999998,154.02566227,20.604317999999999,884.68334627000002
Q3,2020,1584,847.39370195000004,248.04973906999999,16.578384,1112.0218250200001
Q4,2020,1625,885.55689421,315.99736354999999,17.17042472,1218.72468248
Q1,2021,1588,916.62528025999995,346.61050843999999,25.959020199999998,1289.1948088999998
Q2,2021,923,584.81331119000004,191.99216884999998,12.124079,788.92955904000007
Q3,2021,1052,583.20920520000004,243.34411234999999,51.458623000000003,878.01194054999996
Q4,2021,1027,479.29766875000001,312.64483468000003,19.385175,811.32767843000011
Q1,2022,861,458.61237399000004,280.56187215,50.187480999999998,789.36172714000008
Q2,2022,759,346.26010596999998,291.94936763999999,72.24993975000001,710.45941335999999
Q3,2022,791,349.11049829000001,362.55846236000002,44.324629119999997,755.99358976999997
Q4,2022,1020,390.90999636000004,400.10612553999999,39.260050700000001,830.27617260000011
Q1,2023,1046,321.82205646,419.48097723000006,81.030217179999994,822.33325087000003
Q2,2023,638,230.49722616,269.01478008000004,100.10102144999999,599.61302769000008
Q3,2023,883,304.40400612999997,365.33779485000002,94.859876630000002,764.60167761000002
Q4,2023,1027,300.69356085999999,427.36520725000003,142.15480299999999,870.21357110999998
Q1,2024,909,304.76292865000005,350.60123279999999,111.258487,766.62264845000004
Q2,2024,654,255.541371,250.38802285000003,50.042802899999998,555.97219674999997
Q3,2024,669,210.89608455999999,271.67617674999997,73.114440999999999,555.68670230999999
Q4,2024,792,273.48820323999996,327.68172755000001,89.040950800000005,690.21088158999999
Q1,2025,707,174.69242047,346.99339449999997,96.875259999999997,618.56107496999994
Q2,2025,600,196.83658195999999,281.75685077000003,94.8948714,573.48830412999996
Q3,2025,666,211.0968795,294.93853240999999,52.523962040000001,558.55937395000001
Q4,2025,820,283.94984877000002,352.72777585,99.950594999999993,736.62821961999998
42400,,122,---,---,---,124.68137299999999
42429,,148,---,---,---,173.443984
42460,,169,---,---,---,183.85485700000001
42490,,185,---,---,---,212.21094400000001
42521,,232,---,---,---,237.29537975
42551,,223,---,---,---,209.92078591999999
42582,,155,---,---,---,171.40088148000001
42613,,253,---,---,---,256.54185430000001
42643,,149,---,---,---,142.50473450000001
42674,,176,---,---,---,174.92894941
42704,,181,---,---,---,171.48002946
42735,,134,---,---,---,107.51927911
42766,,235,---,---,---,225.7060654
42794,,152,---,---,---,142.80842000999999
42825,,236,---,---,---,240.35403927999999
42855,,184,---,---,---,159.94393968
42886,,229,---,---,---,187.47281950000001
42916,,136,---,---,---,115.19049124999999
42947,,224,---,---,---,203.01712140000001
42978,,161,---,---,---,154.79301329
43008,,102,---,---,---,84.753038680000003
43039,,201,---,---,---,158.0770263
43069,,232,---,---,---,210.24071549000001
43100,,272,---,---,---,219.90053033999999
43131,,121,63.196703820000003,18.572505750000001,7.9564539999999999,89.725663570000009
43159,,184,123.593299,34.591506440000003,12.561500000000001,170.74630544000001
43190,,257,125.35314364,46.00240445,6.2632120000000002,177.61876008999999
43220,,392,209.45746586000001,40.298916460000001,6.3517380000000001,256.10812032000001
43251,,441,228.6474958,43.348782,15.013780860000001,287.01005866000003
43281,,160,84.006767909999994,19.1053234,3.9434450000000001,107.05553630999999
43312,,328,180.70517873,29.89026896,14.16531223,224.76075992
43343,,206,110.938079,19.597798000000001,5.8143750000000001,136.35025200000001
43373,,224,126,33,12,171
43404,,454,233.26163199999999,52.650129200000002,21.276371999999999,307.18813319999998
43434,,399,199.46658026,56.15735565,5.9359549999999999,261.55989091000004
43465,,416,190.15269746999999,65.076820080000005,16.422664000000001,271.65218155000002
43496,,516,244.16864408999999,74.433712900000003,10.224449249999999,328.82680624
43524,,657,307.67305293999999,50.996461099999998,26.138283999999999,384.80779803999997
43555,,653,291.46416905000001,64.648097859999993,11.08341628,367.19568319000001
43585,,674,286.33335125000002,82.371419309999993,9.4885629100000006,378.19333346999997
43616,,905,386.29343981,84.127896570000004,6.2904844100000004,476.71182078999999
43646,,467,183.99322115999999,50.480758219999998,2.7690000000000001,237.24297938000001
43677,,1070,488.19695221000001,109.00715565,6.1255750000000004,603.32968286000005
43708,,558,258.06683895999998,66.078779760000003,3.774235,327.91985371999999
43738,,835,400.53721193000001,92.117361720000005,6.2613345999999996,498.91590825000003
