القائمة الرئيسية   Main List,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
Table 2: Outstanding Loans Of Government Specialized Credit Institutions,,,,,,جدول 2: مؤسسات الإقراض المتخصصة الحكومية : القروض القائمة 
(Million ﷼),,,,,,(مليون ﷼)
نهاية ,,صندوق,بنك,صندوق التنمية,صندوق , المجموع 
الفتره,,التنمية الزراعية,التنمية الاجتماعية,الصناعية السعودي,التنمية العقارية,
End of,,Agricultural,Social,Saudi Industrial,Real Estate,Total
Period,,Dev. Fund,Development Bank,Dev. Fund,Dev. Fund,
1998,,8024.1,770.9,10223.200000000001,69887.7,88905.9
1999,,8194.9,762.3,10352.9,69892.2,89202.299999999988
2000,,8074.3,776.8,10260.1,69531.399999999994,88642.599999999991
2001,,8606.6,785.7,9602.9,69373.100000000006,88368.3
2002,,9413.9,819.4,9279.7999999999993,68711.399999999994,88224.5
2003,,9501.7999999999993,961.8,9219.5,69407.5,89090.6
2004,,9215.6,1010,9480.9,68995.8,88702.3
2005,,9180.2000000000007,1063.2,9844.9,68889,88977.3
2006,,9450.9,1313.4,11138.47,71240.899999999994,93143.669999999984
2007,,9431.7000000000007,1799.12,13857,73392.73,98480.549999999988
2008,,9518.4,9864,17172.259999999998,75394.3,111948.96
2009,,9477.1,14175.47,20889.5,76788.100000000006,121330.17000000001
2010,,9378.4,14598.9,24760,77596.800000000003,126334.1
2011,,9338.7999999999993,21112.2,27387.599999999999,78878.5,136717.1
2012,,8420.5,25257,29312.3,99595.9,162585.70000000001
2013,,8476.1,24827.8,29705.3,116678.2,179687.4
2014,,8648.5,36948.5,30930.2,129517.7,206044.9
2015,,8722.4,41942.1,33445,149260.70000000001,233370.2
2016,,7930,38530.5,35488.32,157741.5,239690.32
43100,,7796,33244.592105000003,38610.57,157263.6,236914.762105
43465,,7346.10707,26931.612387000001,42940.530078999996,153516.83029799999,230735.07983399997
43830,,7965.0420000000004,24238.045999999998,47183.286999999997,156974.78099999999,236361.15599999999
44196,,8481.5040000000008,25792.61,48093.033194000003,155017.53599999999,237384.68319399998
Q1,1998,7615,703.6,9253.5,70345.539999999994,87917.639999999985
Q2,1998,7643.3,732,9514.7999999999993,70225.8,88115.9
Q3,1998,7688.3,751.2,9748.2000000000007,70078.899999999994,88266.599999999991
Q4,1998,8024.1,770.9,10223.200000000001,69887.7,88905.9
Q1,1999,7870.7,749.3,10063.299999999999,69763.600000000006,88446.900000000009
Q2,1999,7903.3,757.4,10180.299999999999,69632.3,88473.3
Q3,1999,7930.4,759.7,10076.5,69486.399999999994,88253
Q4,1999,8194.9,762.3,10352.9,69892.2,89202.299999999988
Q1,2000,8172.8,753.6,10251.200000000001,69823.199999999997,89000.799999999988
Q2,2000,8100.5,762.75242600000001,10171.4,69663.399999999994,88698.052425999995
Q3,2000,8050.96,772.83,10166.18,69582.39,88572.36
Q4,2000,8074.3,776.8,10260.1,69531.399999999994,88642.599999999991
Q1,2001,8121.2,771.7,10099.799999999999,69427.8,88420.5
Q2,2001,8051.4,774.4,9983.5,69192.3,88001.600000000006
Q3,2001,8226.1,783.3,9855.9,69084.899999999994,87950.2
Q4,2001,8606.6,785.7,9602.9,69373.100000000006,88368.3
Q1,2002,8909.7000000000007,777.2,9660.5,69334.5,88681.9
Q2,2002,9173.6,800.4,9634,69241.399999999994,88849.4
Q3,2002,9245.4,806.4,9673.6,69310.5,89035.9
Q4,2002,9413.9,819.4,9279.7999999999993,68711.399999999994,88224.5
Q1,2003,9419.2999999999993,888.4,9403.4,69499.199999999997,89210.299999999988
Q2,2003,9510.9,926.6,9166.1,69420.5,89024.1
Q3,2003,9591.6,964.4,9220.2999999999993,69413.600000000006,89189.900000000009
Q4,2003,9501.7999999999993,961.8,9219.5,69407.5,89090.6
Q1,2004,9327.2999999999993,961.2,9143.1,69348.5,88780.1
Q2,2004,9266.5,977.7,9040.2000000000007,69195.5,88479.9
Q3,2004,9197.7999999999993,984.7,9398.6,69140.399999999994,88721.5
Q4,2004,9215.6,1010,9480.9,68995.8,88702.3
Q1,2005,9227,1010.4,9263,68880.5,88380.9
Q2,2005,9089.7999999999993,1016.125,9359.2000000000007,68777.899999999994,88243.024999999994
Q3,2005,9170.2999999999993,1061.2239999999999,9351.39,68894.600000000006,88477.513999999996
Q4,2005,9180.2000000000007,1063.2,9844.9,68889,88977.3
Q1,2006,9306.4,1138.5,9989.7000000000007,69254.5,89689.1
Q2,2006,9455.6,1235.9000000000001,10162.6,70101.7,90955.799999999988
Q3,2006,9414.2999999999993,1297,10394.200000000001,70769.7,91875.199999999997
Q4,2006,9450.9,1313.4,11138.47,71240.899999999994,93143.669999999984
Q1,2007,9424.2999999999993,1359.7,11732.7,71798.67,94315.37
Q2,2007,9435.0499999999993,1476.27,12410.49,72599.990000000005,95921.8
Q3,2007,9405.59,1681.8,12966.4,73745.56,97799.35
Q4,2007,9431.7000000000007,1799.12,13857,73392.73,98480.549999999988
Q1,2008,9388,2284.6,13815.69,74080.2,99568.489999999991
Q2,2008,9439,3871.79,15161.2,74507.649999999994,102979.64
Q3,2008,9452.2999999999993,5673.2,15962.7,74937.600000000006,106025.8
Q4,2008,9518.4,9864,17172.259999999998,75394.3,111948.96
Q1,2009,9538.8799999999992,12110.35,17315.689999999999,76059.5,115024.42
Q2,2009,9430.5,12978.8,18246,76985.100000000006,117640.40000000001
Q3,2009,9440.4,13744.8,18868,77085.600000000006,119138.8
Q4,2009,9477.1,14175.47,20889.5,76788.100000000006,121330.17000000001
Q1,2010,9458.6,13886.4,21184.3,77336.7,121866
Q2,2010,9323.1,14325.95,23664.9,77129.399999999994,124443.35
Q3,2010,9319.2000000000007,14658.5,23844.2,78104.800000000003,125926.70000000001
Q4,2010,9378.4,14598.9,24760,77596.800000000003,126334.1
Q1,2011,9359,21735.9,24492.5,78589.5,134176.9
Q2,2011,9374.6,33838.5,25444.6,70458.5,139116.20000000001
Q3,2011,9264.6,19759.8,25358.799999999999,74705.7,129088.9
Q4,2011,9338.7999999999993,21112.2,27387.599999999999,78878.5,136717.1
Q1,2012,9207.5,21503.7,26696.3,84245.6,141653.1
Q2,2012,8975.1,23719.4,28170.3,89243.4,150108.20000000001
Q3,2012,8805.5,24494.7,27702.385999999999,94481.2,155483.78599999999
Q4,2012,8420.5,25257,29312.3,99595.9,162585.70000000001
Q1,2013,8408.7000000000007,25780.400000000001,28729.4,105617.60000000001,168536.1
Q2,2013,8322.9,26669.4,27793.599999999999,110933.5,173719.4
Q3,2013,8395.6,27038.1,28420.3,113868.6,177722.6
Q4,2013,8476.1,24827.8,29705.3,116678.2,179687.4
Q1,2014,8492.7999999999993,25592.6,30063.4,120832,184980.8
Q2,2014,8535.1,32632.5,30043.1,121603.8,192814.5
Q3,2014,8508.2999999999993,35719.800000000003,30506,124691.7,199425.8
Q4,2014,8648.5,36948.5,30930.2,129517.7,206044.9
Q1,2015,8807.5,40618.525999999998,30795.200000000001,135016.1,215237.326
Q2,2015,8828.2000000000007,44380.800000000003,32665.200000000001,141454.79999999999,227329
Q3,2015,8792.4,41355.699999999997,32773.1,145913,228834.2
Q4,2015,8722.4,41942.1,33445,149260.70000000001,233370.2
Q1,2016,8653.7999999999993,41655.699999999997,34129.300000000003,151328.6,235767.40000000002
Q2,2016,7941.4,40804.9,33560.5,155700.20000000001,238007
Q3,2016,7918.4,39761.300000000003,34215.4,156669.29999999999,238564.4
Q4,2016,7930,38530.5,35488.32,157741.5,239690.32
Q1,2017,7838.4,37387.1,35685.4,158742.39999999999,239653.3
Q2,2017,7889.7,37040.661,35477.9,158743.4,239151.66099999999
Q3,2017,7902.1,35796.806770000003,35570.1,157972.345566,237241.35233600001
Q4,2017,7796,33244.592105000003,38610.57,157263.6,236914.762105
Q1,2018,7719.83,31336.411054,38405.661999999997,156401.32199999999,233863.22505399998
Q2,2018,7593.46,29890.446222999999,38108.171000000002,155505.97500000001,231098.05222300001
Q3,2018,7378.22,28131.095329,40542.034,154334.52499999999,230385.87432899998
Q4,2018,7346.10707,26931.612387000001,42940.530078999996,153516.83029799999,230735.07983399997
Q1,2019,7304.2123030000002,25448.774765999999,43789.9,153533.394,230076.28106900002
Q2,2019,7218.099553,25161.567437999998,42207.618553,153533.394,228120.67954400001
Q3,2019,7374.86,24475.324000000001,42090.020216999998,154624.76699999999,228564.97121699998
Q4,2019,7965.0420000000004,24238.045999999998,47183.286999999997,156974.78099999999,236361.15599999999
Q1,2020,7866.1959999999999,23298.243999999999,46546.563893420003,157604.625,235315.62889341998
Q2,2020,8043.741,21914.541000000001,46724.839776000001,158416.96900000001,235100.090776
Q3,2020,8283.8109999999997,23054.11,47695.851283000004,155957.495,234991.26728299999
Q4,2020,8481.5040000000008,25792.61,48093.033194000003,155017.53599999999,237384.68319399998
Note: The data of specialized credit institutions has been modified due to the restructuring of some institutions,,,,,,ملاحظة: تم تعديل بيانات مؤسسات الإقراض المتخصصة نظراً لإعادة هيكلة بعض المؤسسات.
"Source: Real Estate Dev. Fund, Saudi Industrial Dev. Fund, Social Development Bank, ",,,,,,المصادر: صندوق التنمية العقارية وصندوق التنمية الصناعية السعودي وبنك التنمية الاجتماعية 
,Agricultural Dev. Fund,,,,,             وصندوق التنمية الزراعية
